timestamp,ax,ay,az,
0.00035858154296875,1124,14012,9868,
0.000617265701293945,1004,14044,9756,
0.000856161117553711,1040,14076,9624,
0.00107765197753906,1040,13944,9616,
0.00130438804626465,1024,14020,9616,
0.00152015686035156,952,13932,9576,
0.00171852111816406,932,13872,9636,
0.00191640853881836,996,13872,9628,
0.00211620330810547,872,13832,9596,
0.00232124328613281,960,13768,9488,
0.00251626968383789,1056,13816,9488,
0.00270867347717285,1068,13804,9476,
0.00289797782897949,1040,13768,9492,
0.00310707092285156,1084,13788,9624,
0.00330805778503418,1152,13764,9668,
0.00351595878601074,1168,13688,9600,
0.00370907783508301,1100,13676,9576,
0.00392675399780273,1120,13708,9620,
0.00417423248291016,1120,13704,9648,
0.00438952445983887,1060,13684,9672,
0.0046083927154541,1080,13720,9808,
0.00479793548583984,1184,13816,9808,
0.00499558448791504,1164,13792,9812,
0.00519776344299316,1212,13668,9856,
0.00542306900024414,1300,13752,9740,
0.00564908981323242,1292,13784,9868,
0.00584268569946289,1220,13776,9824,
0.00603222846984863,1268,13764,9884,
0.00623869895935059,1268,13896,9928,
0.00644278526306152,1252,13844,9784,
0.00652623176574707,1248,13844,0,
0.00672984123229981,2164,15880,3828,
0.00692200660705566,2032,15824,3868,
0.00711464881896973,2052,15960,3960,
0.00731539726257324,2096,15960,3876,
0.00751256942749023,2004,16004,3904,
0.00770640373229981,2004,16040,4024,
0.00789642333984375,2116,16076,4096,
0.00808906555175781,2120,15980,3932,
0.00841093063354492,2060,15980,3892,
0.00865340232849121,2108,16040,3852,
0.00889754295349121,2164,16088,3852,
0.00914096832275391,2156,16040,3840,
0.00939154624938965,2096,15988,3808,
0.00960874557495117,2056,16080,3908,
0.00980806350708008,2040,16064,3856,
0.00999689102172852,2088,15920,3780,
0.0101950168609619,2092,15888,3704,
0.0103969573974609,2032,15944,3884,
0.0106031894683838,2108,16000,3916,
0.0108134746551514,2140,16056,3800,
0.0110018253326416,2148,16008,3776,
0.0112040042877197,2108,16008,3900,
0.01143479347229,2172,16084,3920,
0.011646032333374,2172,16032,3836,
0.0118842124938965,2152,16000,3904,
0.0121409893035889,2084,16024,3980,
0.0123882293701172,2164,16024,3876,
0.0125899314880371,2248,16088,3888,
0.0128114223480225,2196,16072,3888,
0.0130264759063721,2196,16032,3836,
0.0132625102996826,2136,16036,3940,
0.013596773147583,2148,16112,3892,
0.0138084888458252,2176,16148,3888,
0.0140175819396973,2148,16144,3960,
0.0142557621002197,2240,16000,3852,
0.0144591331481934,2196,16064,3996,
0.0146684646606445,2140,16116,4044,
0.0148775577545166,2160,16004,4076,
0.0150766372680664,2184,16032,4040,
0.0153093338012695,2252,16108,3864,
0.0155177116394043,2252,16004,3848,
0.0157103538513184,2252,15960,3860,
0.015902042388916,2216,15872,3900,
0.016087532043457,2220,15872,3924,
0.0162825584411621,2216,15928,3856,
0.0164675712585449,2108,15972,3900,
0.0166530609130859,2216,16012,3900,
0.0168428421020508,2176,16008,3924,
0.0170266628265381,2196,15996,3972,
0.0172793865203857,2320,16072,3888,
0.0174870491027832,2316,16032,3944,
0.0176706314086914,2224,15956,3980,
0.0178554058074951,2236,16028,3936,
0.0180444717407227,2268,16048,3868,
0.0182461738586426,2204,16060,3868,
0.0184338092803955,2208,16020,3912,
0.0186178684234619,2264,15940,4008,
0.0188226699829102,2280,15936,3980,
0.0190310478210449,2236,15948,3976,
0.0192224979400635,2236,15992,4056,
0.0194125175476074,2228,16024,3868,
0.0195968151092529,2208,16024,4016,
0.0197806358337402,2228,16044,4056,
0.0199651718139648,2260,15988,4056,
0.0201494693756104,2236,15976,4056,
0.0203464031219482,2120,15976,4008,
0.0205392837524414,2132,15924,3860,
0.0207226276397705,2224,15956,4036,
0.020911693572998,2292,15960,4072,
0.0211005210876465,2188,16000,3908,
0.0213165283203125,2268,15952,3960,
0.0215132236480713,2296,15948,3804,
0.0217127799987793,2268,15976,3908,
0.0218961238861084,2176,15900,3924,
0.0220792293548584,2168,15912,3904,
0.0222773551940918,2180,15940,3892,
0.0224609375,2180,15992,3860,
0.0226590633392334,2312,15964,3852,
0.0228486061096191,2256,15912,3920,
0.02303147315979,2320,15912,4028,
0.023303747177124,2340,15920,4004,
0.0234904289245605,2268,15908,4004,
0.0236735343933105,2184,15948,3828,
0.0238566398620605,2064,16052,3980,
0.0240392684936523,2160,15972,3928,
0.0242366790771484,2184,16052,3872,
0.0244240760803223,2204,16028,3992,
0.0246076583862305,2232,16032,3940,
0.0247912406921387,2152,15996,3820,
0.0249743461608887,2116,15984,4040,
0.0251631736755371,2140,15980,4176,
0.0253531932830811,2212,15996,3808,
0.0255367755889893,2336,16012,3760,
0.0257210731506348,2280,16052,3908,
0.0259075164794922,2280,16008,3932,
0.0260906219482422,2144,16040,3936,
0.026282787322998,2200,16040,3852,
0.0264909267425537,2192,16140,3868,
0.0266819000244141,2148,16048,3856,
0.0268645286560059,2196,15952,3856,
0.0270676612854004,2140,15988,3836,
0.0272688865661621,2184,16020,3884,
0.0274765491485596,2268,16068,3900,
0.0276732444763184,2240,16056,3764,
0.0278558731079102,2112,16020,3668,
0.0280396938323975,2204,15996,3728,
0.0282366275787354,2120,15976,3792,
0.0284194946289062,2188,16040,3804,
0.0286023616790771,2272,15908,3768,
0.0287899971008301,2252,15924,3736,
0.0289797782897949,2168,15952,3720,
0.0291690826416016,2160,16052,3980,
0.0293550491333008,2160,15932,3856,
0.0295381546020508,2156,15888,3816,
0.0297210216522217,2140,15888,3832,
0.0299034118652344,2184,15976,3792,
0.0300889015197754,2220,16100,3792,
0.0302855968475342,2260,15980,3760,
0.0304694175720215,2204,15904,3764,
0.0306525230407715,2072,15968,3880,
0.0308358669281006,2140,15896,3956,
0.0310187339782715,2212,15852,3816,
0.0312082767486572,2244,15908,3768,
0.0313987731933594,2224,15976,3752,
0.0315811634063721,2148,16012,3628,
0.0317642688751221,2156,15988,3724,
0.0319468975067139,2316,16048,3792,
0.0321297645568848,2288,16012,3880,
0.0325288772583008,2288,16016,3980,
0.032766580581665,2288,16004,3928,
0.0329651832580566,2164,16048,3868,
0.033149242401123,2216,16080,3860,
0.0333578586578369,2176,16080,3924,
0.0335462093353271,2152,16120,3752,
0.0337283611297607,2180,16128,3752,
0.0339555740356445,2240,16124,3828,
0.0341701507568359,2132,16084,3776,
0.0343592166900635,2316,16088,3760,
0.0345425605773926,2360,16108,3848,
0.0347263813018799,2316,16144,3932,
0.0349099636077881,2320,16096,3972,
0.0350940227508545,2260,16088,3932,
0.0352897644042969,2168,16132,3924,
0.0354733467102051,2292,16084,3836,
0.0356554985046387,2216,16124,3912,
0.0358400344848633,2300,16084,3940,
0.0360233783721924,2252,16052,3924,
0.0362162590026855,2252,16072,3788,
0.0364046096801758,2184,16000,3792,
0.0365877151489258,2104,16000,3980,
0.0367729663848877,2180,15968,3884,
0.0369577407836914,2268,15908,3844,
0.0371413230895996,2272,15824,3844,
0.0373482704162598,2196,15852,3852,
0.0375852584838867,2244,15856,4020,
0.0377864837646484,2220,15828,3972,
0.0379908084869385,2232,15784,3864,
0.0381975173950195,2232,15780,3952,
0.0383956432342529,2348,15736,3944,
