ax,ay,az,label
820,15232,6952,
740,15164,6832,
856,15216,6972,
828,15252,7016,
804,15296,6848,
824,15304,6928,
704,15252,6888,
684,15244,6944,
760,15176,7020,
768,15264,7080,
784,15284,7040,
808,15316,7056,
808,15272,7064,
836,15380,6992,
772,15380,7088,
796,15292,7008,
804,15152,7008,
824,15228,7044,
856,15244,7120,
872,15248,7004,
776,15156,6892,
800,15164,6860,
812,15204,6992,
908,15144,7112,
876,15168,7080,
816,15132,6996,
816,15140,7056,
784,15248,6972,
784,15196,6964,
776,15144,7008,
780,15144,6952,
740,15144,6980,
752,15056,6980,
784,15132,6912,
832,15240,6864,
772,15168,7000,
744,15224,7052,
800,15196,7144,
828,15228,7040,
768,15184,7084,
748,15092,6948,
772,15164,6968,
776,15252,6964,
812,15228,6932,
812,15212,6940,
852,15236,6916,
788,15236,7000,
840,15328,6960,
780,15248,6960,
888,15220,6932,
852,15264,6892,
820,15228,6908,
796,15284,6944,
808,15228,6876,
876,15292,6788,
852,15332,6936,
876,15272,6812,
820,15220,6916,
764,15336,6852,
764,15160,6808,
808,15292,6808,
800,15212,6876,
916,15212,6940,
924,15284,6832,
916,15304,6832,
788,15224,6712,
744,15272,6840,
852,15268,6920,
896,15240,6936,
852,15120,6796,
896,15244,6844,
904,15308,6892,
788,15244,6884,
740,15272,6864,
768,15276,6736,
768,15184,6844,
816,15212,7012,
836,15152,6984,
868,15152,6848,
756,15200,6812,
712,15160,6812,
672,15252,6728,
776,15280,6728,
644,15224,6796,
704,15232,6908,
740,15208,6896,
780,15156,6804,
760,15212,6804,
792,15252,7024,
784,15232,6996,
800,15252,6944,
800,15300,6832,
728,15188,6796,
736,15188,6880,
796,15236,6952,
844,15176,7068,
864,15240,7068,
812,15208,7000,
860,15280,6892,
876,15268,6804,
796,15244,6820,
776,15208,6848,
820,15176,6868,
876,15292,6680,
896,15176,6836,
764,15140,6932,
792,15272,6904,
792,15296,6764,
716,15268,6908,
744,15268,6880,
896,15228,6772,
740,15196,6592,
724,15224,6592,
800,15120,6668,
760,15164,6764,
836,15200,6792,
812,15200,6868,
704,15180,6764,
728,15176,6664,
732,15216,6576,
788,15208,6668,
736,15128,6680,
776,15100,6756,
776,15232,6796,
816,15156,6644,
880,15156,6604,
812,15112,6744,
872,15144,6772,
764,15116,6772,
768,15060,6772,
832,15056,6676,
916,15104,6680,
940,15224,6800,
868,15152,6772,
864,15184,6788,
752,15284,6744,
792,15236,6828,
808,15172,6840,
760,15248,6804,
760,15280,6952,
920,15240,6756,
880,15240,6624,
884,15316,6880,
936,15300,6680,
900,15308,6680,
868,15328,6720,
836,15204,6640,
884,15144,6724,
900,15300,6740,
792,15316,6672,
844,15272,6728,
804,15120,6672,
708,15264,6732,
816,15292,6752,
848,15344,6624,
848,15384,6636,
856,15436,6632,
804,15436,6512,
764,15368,6552,
864,15360,6652,
848,15348,6652,
744,15460,6532,
792,15372,6636,
808,15348,6648,
848,15380,6684,
796,15464,6536,
748,15408,6628,
780,15324,6660,
776,15336,6672,
752,15224,6556,
792,15288,6636,
792,15336,6728,
840,15288,6512,
776,15288,6604,
760,15260,6556,
840,15348,6540,
748,15452,6540,
788,15380,6560,
724,15408,6472,
716,15320,6508,
748,15396,6460,
748,15400,6492,
752,15384,6536,
624,15468,6644,
716,15416,6508,
816,15516,6484,
740,15476,6504,
740,15448,6672,
704,15536,6656,
744,15536,6580,
688,15568,6488,
684,15400,6488,
728,15480,6548,
652,15476,6652,
616,15356,6572,
656,15280,6532,
728,15352,6628,
620,15380,6640,
632,15320,6804,
688,15280,6820,
760,15192,6760,
664,15184,6920,
660,15172,6904,
660,15076,6892,
780,14988,6776,
808,14988,6740,
676,14932,6860,
704,15032,6860,
788,14920,6844,
756,14836,6840,
784,14944,6724,
852,15016,6768,
760,15020,6780,
736,15064,6716,
836,15048,6632,
856,15136,6608,
760,15224,6636,
772,15280,6596,
788,15320,6568,
788,15324,6596,
792,15448,6636,
844,15448,6464,
828,15528,6292,
804,15508,6292,
772,15560,6340,
740,15632,6380,
820,15596,6236,
844,15444,6356,
848,15560,6372,
848,15644,6240,
748,15576,6224,
692,15516,6456,
804,15556,6452,
720,15564,6236,
780,15492,6284,
780,15568,6280,
892,15508,6288,
884,15508,6236,
852,15488,6164,
792,15604,6164,
684,15672,6304,
672,15656,6264,
840,15504,6324,
732,15596,6260,
652,15716,6332,
608,15656,6336,
732,15596,6380,
832,15596,6292,
832,15640,6464,
812,15652,6492,
704,15644,6520,
704,15556,6612,
716,15564,6664,
704,15564,6692,
676,15508,6780,
704,15576,6780,
676,15480,6544,
636,15256,6544,
756,15308,6672,
896,15288,6724,
852,15196,6620,
780,15280,6756,
808,15212,6724,
836,15104,6580,
764,15104,6540,
824,15108,6604,
876,15080,6672,
876,15016,6684,
816,15008,6608,
712,15008,6560,
676,14952,6520,
736,14988,6520,
700,14924,6636,
744,14880,6632,
640,14944,6600,
700,14980,6516,
712,14984,6412,
644,15008,6596,
684,15032,6584,
648,15064,6660,
652,15192,6704,
668,15244,6676,
620,15224,6700,
620,15312,6668,
532,15324,6812,
480,15324,6748,
404,15280,6684,
296,15296,6684,
324,15288,6528,
560,15384,6712,
636,15408,6628,
604,15416,6540,
612,15424,6652,
704,15560,6748,
580,15604,6716,
392,15328,6668,
404,15292,6608,
484,15336,6460,
560,15540,6532,
560,15532,6576,
484,15488,6556,
684,15488,6496,
592,15280,6392,
608,15188,6392,
852,15216,6632,
836,15332,6636,
800,15420,6684,
744,15404,6504,
740,15516,6324,
584,15508,6320,
604,15284,6372,
712,15220,6560,
816,15244,6632,
852,15272,6676,
900,15336,6568,
900,15408,6400,
872,15404,6304,
720,15404,6424,
612,15444,6388,
548,15240,6388,
752,15284,6596,
844,15352,6700,
752,15340,6844,
700,15328,6740,
792,15336,6688,
752,15308,6516,
624,15332,6444,
760,15436,6596,
796,15364,6540,
668,15452,6652,
732,15400,6660,
732,15396,6580,
764,15320,6556,
720,15320,6684,
744,15324,6508,
588,15332,6508,
604,15388,6512,
668,15324,6584,
596,15336,6656,
648,15360,6592,
696,15320,6648,
692,15360,6692,
612,15252,6680,
616,15196,6568,
636,15312,6584,
568,15264,6560,
616,15296,6464,
616,15312,6584,
628,15252,6628,
568,15252,6676,
676,15276,6668,
680,15300,6668,
628,15248,6704,
576,15176,6656,
652,15212,6600,
816,15292,6500,
752,15304,6532,
728,15208,6548,
668,15288,6668,
632,15284,6664,
672,15360,6648,
620,15452,6688,
612,15372,6632,
612,15420,6688,
644,15440,6472,
612,15440,6324,
492,15380,6292,
536,15468,6292,
668,15324,6524,
636,15328,6592,
704,15272,6688,
560,15376,6428,
400,15532,6100,
380,15320,6196,
548,15344,6372,
668,15396,6496,
660,15324,6664,
636,15304,6632,
636,15304,6588,
692,15312,6556,
680,15372,6500,
692,15372,6468,
588,15444,6324,
620,15520,6324,
636,15468,6468,
568,15436,6428,
612,15364,6516,
644,15456,6556,
628,15456,6468,
676,15520,6484,
576,15556,6460,
580,15524,6448,
736,15400,6404,
668,15440,6332,
668,15420,6320,
660,15328,6456,
680,15368,6376,
656,15368,6340,
600,15416,6428,
652,15332,6428,
580,15264,6368,
588,15276,6384,
536,15264,6424,
572,15292,6472,
596,15364,6296,
664,15288,6352,
648,15256,6432,
536,15280,6392,
600,15192,6356,
636,15136,6404,
636,15128,6444,
652,15224,6388,
632,15224,6360,
604,15320,6344,
636,15308,6304,
636,15400,6304,
612,15312,6544,
688,15292,6564,
632,15308,6464,
644,15272,6432,
724,15304,6324,
720,15304,6340,
640,15324,6332,
556,15352,6276,
716,15304,6220,
788,15352,6276,
788,15332,6420,
744,15348,6460,
632,15348,6440,
636,15452,6388,
696,15356,6328,
776,15392,6328,
812,15440,6384,
648,15292,6344,
668,15384,6304,
636,15420,6348,
700,15440,6348,
616,15404,6380,
640,15448,6272,
656,15424,6332,
668,15372,6332,
616,15424,6192,
616,15432,6380,
644,15396,6292,
688,15396,6448,
680,15336,6408,A
648,15404,6444,A
688,15492,6444,A
680,15436,6412,A
572,15420,6396,A
592,15420,6336,A
496,15356,6452,A
612,15372,6476,A
572,15416,6384,A
632,15500,6332,A
716,15444,6356,A
680,15336,6412,A
568,15372,6512,A
568,15364,6396,A
708,15508,6472,A
752,15508,6500,A
692,15532,6500,A
676,15400,6500,A
704,15376,6464,A
612,15472,6296,A
660,15500,6444,A
684,15448,6360,A
676,15400,6516,A
644,15392,6696,A
564,15460,6548,A
644,15476,6484,A
740,15480,6540,A
744,15496,6620,A
648,15492,6628,A
648,15572,6628,A
652,15544,6560,A
684,15544,6476,A
668,15560,6468,A
640,15612,6468,A
668,15692,6408,A
644,15708,6404,A
664,15688,6472,A
628,15692,6352,A
632,15668,6292,A
708,15608,6288,A
716,15572,6284,A
632,15336,6300,A
644,15428,6344,A
728,15412,6408,A
684,15348,6452,A
684,15272,6260,A
784,15224,6108,A
744,15224,6200,A
624,15244,6236,A
668,15184,6236,A
644,15212,6304,A
640,15244,6308,A
780,15220,6308,A
720,15340,6092,A
688,15364,6100,A
816,15440,6136,A
896,15484,6264,A
852,15740,6384,A
932,15780,6184,A
920,15804,6412,A
808,15888,6564,A
808,15952,6580,A
