ax,ay,az,
2132,16128,3960,
2132,16088,3900,
2224,16068,3920,
2240,16068,3996,
2064,16012,4100,
2136,15972,3968,
2348,16028,3968,
2156,16036,3880,
2264,15948,3960,
2264,15864,4072,
2292,15924,4052,
2332,15840,4008,
2452,15904,3900,
2224,15956,3964,
2360,15944,3916,
2436,15904,3956,
2468,15924,4056,
2292,15972,3952,
2292,15904,3980,
2356,15824,4016,
2476,15824,3996,
2468,15788,4168,
2440,15984,4168,
2404,15860,3996,
2436,15832,4072,
2464,15856,4080,
2444,15768,4000,
2452,15824,4060,
2548,15848,4016,
2448,15816,4056,
2468,15832,3980,
2544,15820,4024,
2596,15724,4016,
2508,15824,3900,
2508,15744,3972,
2540,15844,3956,
2580,15844,3756,
2528,15872,3880,
2504,15884,3924,
2468,15776,3924,
2392,15752,3976,
2356,15820,3980,
2388,15804,3992,
2444,15820,3984,
2304,15816,3992,
2364,15816,4028,
2368,15792,3984,
2316,15824,3928,
2484,15896,3980,
2484,15896,4096,
2484,15892,4024,
2376,15916,4008,
2268,15920,4052,
2232,15920,4048,
2316,15864,4024,
2340,15844,4024,
2248,15916,3944,
2336,15928,3968,
2280,15948,3988,
2208,16020,4048,
2336,16068,4192,
2292,16000,4000,
2212,15964,3832,
2224,15940,3864,
2244,16020,3756,
2220,15956,3808,
2056,16048,3700,
2056,15988,3832,
2036,16136,3908,
2028,16136,3740,
2000,16168,3724,
2044,16124,3724,
2112,16120,3820,
2072,16220,3868,
2104,16164,3732,
2084,16220,3708,
2156,16276,3796,
2104,16264,3928,
2036,16224,3904,
2004,16204,3924,
1984,16200,3892,
2096,16264,3796,
2076,16324,3848,
2076,16232,3756,
1936,16276,3864,
2092,16360,3836,
2116,16360,3908,
2156,16188,3768,
2132,16224,3768,
2072,16220,3768,
2144,16160,3924,
2108,16176,3996,
2156,16196,3956,
2244,16120,3956,
2172,16140,4000,
2224,16088,3992,
2220,16068,3992,
2256,16048,3936,
2076,16132,3984,
2240,16148,3896,
2240,16140,4040,
2288,16200,3968,
2224,16200,3976,
2212,16152,3932,
2324,16180,3932,
2308,16152,3916,
2284,16140,4000,
2332,16124,3960,
2352,16128,3932,
2344,16160,3988,
