ax,ay,az,
16176,0,1920,
2780,16544,2612,
2232,16312,4828,
1872,16312,5624,
2540,15572,5044,
2728,15668,5044,
2908,15828,3972,
3096,15952,3288,
3352,15788,2944,
3184,15696,2156,
2932,16076,1780,
2408,16584,2084,
1772,16516,4500,
2332,15664,5996,
2692,15636,5348,
2780,15796,3972,
3032,16000,3340,
3032,15704,2976,
3280,15764,2348,
3268,15764,1768,
3116,16032,1460,
2440,16572,1460,
1860,16748,3664,
2268,15804,6004,
2724,15616,5556,
2712,15768,4360,
3028,15884,3500,
3188,15800,3156,
3328,15728,2276,
2992,16016,1800,
2728,16472,1656,
1936,16716,2960,
2172,15912,5880,
2172,15448,5932,
2708,15608,4664,
2868,15792,3624,
3136,15792,3148,
3316,15588,2268,
3540,15492,2268,
3184,15820,1788,
2816,16288,1480,
2232,16728,2592,
2132,15968,5628,
2520,15360,6056,
2924,15412,4828,
2860,15568,3968,
3188,15564,3288,
3264,15400,2476,
3112,15564,1896,
2724,16172,1524,
2724,16720,2384,
2372,16064,5472,
2132,16064,6260,
2340,15332,4936,
2820,15424,4936,
2912,15788,3960,
3212,15692,3236,
3280,15544,2424,
3100,15804,1944,
2824,16236,1448,
2184,16748,2292,
2180,16132,5336,
2460,15412,6052,
2744,15416,4792,
2808,15656,4096,
3164,15696,3292,
3164,15740,2300,
3068,15932,1708,
3028,16416,1356,
2612,16416,2464,
2200,16652,5564,
1928,16092,5564,
2256,15504,6196,
2684,15540,4984,
2688,15700,4000,
3172,15780,3104,
3056,15836,2060,
2756,16068,1740,
2516,16452,1632,
1948,16724,2876,
1972,16072,5708,
2304,15524,6300,
2428,15668,4988,
2428,15788,4000,
2872,15796,2784,
2924,15796,2036,
3000,15992,1620,
2852,16160,1620,
2332,16596,1908,
2124,16540,3224,
1964,16088,5432,
2188,15720,5984,
2608,15684,4964,
2792,15824,3864,
2968,15880,2744,
2948,15948,1896,
2608,16276,1624,
2416,16520,2224,
1912,16512,3740,
1912,16068,5464,
2000,15692,5852,
2456,15700,4892,
2584,15700,3676,
2804,15848,2624,
2892,16088,2624,
2972,16188,1944,
2468,16284,1872,
2324,16340,2688,
2184,16236,3948,
2140,16016,5272,
2316,15704,5440,
2732,15644,4556,
2988,15824,3472,
2988,16028,2444,
3024,16068,1988,
2556,16156,2224,
2556,16068,3100,
2424,16040,3968,
2240,16040,4624,
2256,15916,4476,
2608,15768,4476,
2844,15772,3940,
2952,15788,3172,
3084,15744,2584,
2792,15824,2524,
2740,15940,2804,
2484,15904,3292,
2592,15912,3812,
2492,15936,4108,
2552,15868,3912,
2712,15844,3640,
2792,15824,3336,
2792,15768,3280,
2936,15836,3084,
2740,15852,2916,
2796,15852,3240,
2604,15844,3612,
2580,15840,3612,
2528,15944,3792,
2700,15900,3760,
2644,15848,3604,
2748,15792,3672,
2744,15868,3532,
2668,15932,3184,
2752,15848,3096,
2564,15920,3460,
2676,15856,3596,
2564,16044,3668,
2584,16156,3748,
2584,15948,3800,
2588,16000,3684,
2564,16000,3732,
2676,15900,3640,
2552,15956,3640,
2472,15992,3624,
2416,16024,3648,
2528,16104,3784,
2460,15984,3672,
2532,15940,3656,
2456,16012,3688,
2612,15980,3720,
2476,16060,3664,
2612,16040,3684,
2508,16068,3632,
2564,15952,3564,
2564,16036,3632,
2420,16052,3536,
2636,16052,3636,
2580,16052,3704,
2556,16024,3600,
2400,16004,3600,
2312,15972,3620,
2376,16016,3632,
2428,15996,3736,
2636,15944,3704,
2484,15932,3596,
2428,16008,3576,
2576,16028,3536,
2416,16024,3624,
2560,16012,3616,
2428,15976,3536,
2528,15900,3560,
2528,15952,3540,
2516,16004,3512,
2532,16004,3452,
2476,16004,3544,
2540,15968,3544,
2592,15972,3608,
2528,15940,3624,
2480,15916,3636,
2552,15876,3716,
2576,15976,3744,
2444,16040,3796,
2464,16008,3760,
2416,16024,3824,
2596,15980,3768,
2440,15992,3632,
2492,15996,3556,
2492,15984,3576,
2552,15928,3664,
2704,15928,3652,
2580,15976,3660,
2540,16008,3812,
2536,16012,3812,
2640,15976,3744,
2600,16056,3708,
2668,16048,3928,
2628,15948,3780,
2672,15944,3776,
2672,15872,3796,
2608,15960,3724,
2564,15972,3752,
2576,15932,3812,
2616,15904,3740,
2636,15936,3760,
2636,16008,3600,
2496,15920,3624,
2720,15920,3864,
2664,15944,4040,
2708,15988,4040,
2700,16052,3996,
2644,16084,4028,
2676,16084,0,
2296,15604,5548,
2296,15548,5476,
2352,15548,5488,
2280,15524,5440,
2492,15524,5388,
2420,15636,5512,
2292,15656,5512,
2500,15484,5724,
2556,15532,5824,
2560,15540,5776,
2540,15620,5824,
2492,15596,5968,
2580,15644,5928,
2624,15676,5816,
2636,15608,5904,
2600,15568,5872,
2748,15516,5868,
2672,15540,5912,
2672,15528,5964,
2696,15548,5896,
2612,15548,5884,
2776,15564,5860,
2736,15672,5860,
2868,15548,5892,
2696,15620,6000,
2760,15640,5868,
2820,15700,5760,
2836,15596,5828,
2840,15628,5768,
2572,15568,5732,
2608,15668,5820,
2608,15676,5840,
2776,15704,5700,
2800,15644,5576,
2800,15656,5780,
2760,15736,5724,
2708,15736,5652,
2772,15676,5512,
2676,15576,5552,
2668,15492,5552,
2564,15544,5544,
2784,15504,5636,
2760,15512,5764,
2700,15388,5572,
2776,15424,5700,
2816,15408,5676,
2716,15452,5584,
2628,15472,5444,
2736,15440,5572,
2664,15464,5440,
2712,15456,5620,
2712,15432,5564,
2532,15488,5676,
2596,15488,5636,
2556,15440,5760,
2516,15504,5760,
2636,15456,5700,
2448,15568,5628,
2576,15536,5536,
2364,15624,5536,
2476,15568,5496,
2304,15500,5540,
2324,15564,5540,
2280,15572,5524,
2316,15544,5576,
2452,15648,5384,
2372,15656,5368,
2372,15672,5388,
2256,15576,5532,
2512,15576,5768,
2404,15616,5568,
2460,15572,5616,
2392,15596,5616,
2348,15732,5588,
2528,15720,5516,
2412,15692,5648,
2484,15572,5588,
2392,15588,5480,
2416,15624,5348,
2256,15640,5328,
2340,15484,5056,
2268,15528,5120,
2288,15476,5160,
2280,15544,5164,
2280,15476,5148,
2332,15560,5168,
2316,15560,5000,
2288,15556,5008,
2224,15480,5008,
2328,15480,4988,
2184,15684,5116,
2324,15700,5280,
2332,15708,5204,
2308,15760,5204,
2224,15748,5052,
2220,15728,5096,
2236,15744,5140,
2156,15760,5228,
2132,15700,5096,
2088,15696,5176,
2088,15700,5092,
2084,15640,5036,
2008,15640,4872,
2044,15672,4960,
2056,15752,4836,
2044,15752,4836,
2000,15732,4980,
2044,15648,4964,
1912,15652,4896,
2056,15696,4848,
2076,15668,4872,
2096,15780,4980,
2092,15900,4980,
2108,15744,4896,
1924,15824,4788,
1960,15892,4808,
1960,15968,4728,
2032,15732,4764,
2096,15828,4832,
1984,15828,4804,
2224,16000,4660,
2132,15976,4660,
2084,16020,4644,
2152,15972,4792,
2144,15972,4936,
2220,16080,4704,
2120,16152,4648,
2256,16084,4648,
1940,16072,4656,
2124,16152,4520,
2088,16120,4476,
2016,16128,4596,
2004,16160,4556,
2004,16140,4700,
2092,16184,4572,
2152,16184,4524,
1960,16188,4548,
1972,16184,4548,
2008,16200,4552,
2048,16176,4416,
