ax,ay,az,
1364,16500,3696,
1300,16564,3752,
1300,16588,3852,
1224,16580,3844,
1236,16528,3896,
1196,16588,4004,
1196,16696,3796,
1336,16668,3876,
1280,16668,3812,
1312,16660,3832,
1260,16636,3832,
1320,16616,3792,
1376,16576,3688,
1396,16628,3616,
1532,16592,3600,
1484,16484,3632,
1300,16504,3560,
1344,16528,3500,
1364,16616,3504,
1380,16548,3652,
1356,16576,3760,
1432,16532,3760,
1432,16572,3644,
1416,16592,3672,
1332,16592,3632,
1432,16488,3676,
1468,16508,3728,
1536,16544,3728,
1572,16472,3808,
1572,16464,3924,
1604,16516,3988,
1672,16448,3976,
1708,16288,3948,
1628,16264,3820,
1684,16304,3784,
1672,16428,3752,
1688,16292,3872,
1800,16260,3704,
1832,16212,3748,
1832,16308,3860,
1852,16236,3836,
1928,16236,3832,
1828,16236,4012,
2000,16236,4012,
2112,16168,3940,
2132,16192,4056,
2072,16128,4068,
2044,16084,4076,
2044,16140,4200,
2108,15980,4212,
2144,16112,4192,
2216,16088,4256,
2224,15972,4380,
2168,16052,4376,
2316,16012,4464,
2316,15980,4404,
2340,15928,4324,
2404,15928,4324,
2336,16012,4264,
2304,15880,4264,
2328,15848,4288,
2384,15868,4260,
2420,15856,4020,
2412,15816,4184,
2332,15840,4236,
2456,15832,3780,
2424,15776,3884,
2496,15800,4052,
2508,15732,4108,
2548,15672,3992,
2476,15640,3892,
2476,15708,4016,
2524,15824,4120,
2668,15824,4204,
2564,15908,4376,
2588,15844,4516,
2564,15844,4516,
2652,15920,4468,
2628,15880,4340,
2712,15980,4500,
2576,15996,4588,
2564,16080,4612,
2672,16056,4548,
2652,16012,4620,
2724,16040,4688,
2680,15996,4528,
2604,15952,4380,
2728,16012,4260,
2728,15944,4244,
2832,15936,4380,
2768,15936,4308,
2696,15888,4388,
2680,15880,4388,
2740,15784,4312,
2784,15732,4216,
2948,15740,4316,
3008,15752,4268,
2964,15576,4352,
2972,15548,4384,
3060,15512,4440,
3036,15576,4416,
3072,15548,4528,
3028,15528,4520,
2928,15408,4460,
2928,15404,4560,
3044,15336,4432,
3156,15336,4436,
3132,15324,4348,
3124,15288,4348,
3132,15228,4464,
3200,15188,4456,
3032,15140,4600,
3016,15128,4520,
2948,15024,4492,
2972,14964,4728,
3048,15008,4848,
3040,14932,4820,
3076,14852,4932,
2988,14828,4992,
2944,14824,4952,
2944,14840,5068,
2920,14780,5044,
2928,14780,5096,
2864,14748,5228,
2836,14776,5400,
2808,14760,5400,
2796,14736,5436,
2756,14740,5464,
2820,14744,5504,
2896,14732,5472,
2900,14724,5568,
3004,14756,5540,
2916,14760,5508,
2900,14672,5656,
2920,14732,5900,
2904,14788,5656,
2932,14756,5740,
2932,14792,5864,
3012,14772,5996,
2984,14772,6012,
3024,14736,6040,
2940,14748,6040,
2964,14780,5984,
3020,14772,5944,
3020,14896,6168,
3076,14896,6148,
2984,14788,6132,
2948,14764,6080,
2984,14832,6080,
2904,14876,6032,
3028,14892,5896,
2972,14932,6008,
3012,14840,6092,
3012,14896,6016,
2952,14924,6088,
2972,14924,6148,
3056,15032,5904,
2968,14992,6128,
2972,14868,6128,
3048,14904,6084,
3048,14912,5920,
2952,14912,5992,
2848,14980,5932,
2916,14940,6036,
2896,14908,5920,
2900,14876,5940,
2836,14908,5940,
2812,14900,5976,
2888,14888,5928,
2888,14840,5868,
2816,14872,6072,
2864,14872,6028,
2748,14872,5920,
2688,14888,5904,
2720,14864,5904,
2680,14860,5860,
2616,14908,5900,
2556,14816,5968,
2656,14936,5944,
2480,14872,5916,
2348,14928,6064,
2440,14872,6120,
2396,14960,5960,
2388,15088,6092,
2348,15112,6176,
2304,14964,6268,
2304,15080,6236,
2284,15088,6176,
2224,15088,6164,
2276,15012,6260,
2180,15116,6260,
2200,15144,6284,
2208,15160,6196,
2000,15092,6212,
2092,15032,6060,
2044,15240,5920,
2036,15236,5840,
2084,15232,5992,
2008,15144,5772,
2056,15168,5732,
1924,15196,5788,
1952,15232,5812,
1952,15128,5728,
2016,15104,5588,
1916,15204,5708,
1828,15204,5688,
1948,15128,5472,
1892,15156,5472,
1892,15220,5580,
1880,15120,5476,
1860,15252,5616,
1968,15288,5696,
1908,15284,5612,
1816,15332,5636,
1872,15268,5592,
1816,15204,5676,
1872,15228,5720,
1776,15276,5772,
1780,15356,5712,
1780,15352,5592,
1788,15484,5552,
1700,15484,5700,
1760,15464,5588,
1760,15552,5588,
1860,15496,5708,
1896,15516,5488,
1980,15508,5512,
2056,15460,5520,
2052,15464,5480,
2044,15440,5376,
2040,15500,5448,
2060,15548,5588,
2016,15532,5620,
2132,15508,5484,
2220,15460,5472,
2220,15456,5640,
2168,15552,5764,
2152,15472,5456,
2184,15472,5488,
2440,15572,5516,
2348,15520,5516,
2300,15508,5336,
2300,15636,5252,
2316,15640,5136,
2456,15680,5064,
2524,15596,5136,
2588,15660,5264,
2652,15744,5084,
2652,15708,4960,
2632,15768,4964,
2688,15920,4884,
2852,15840,4928,
2852,15944,4984,
2752,16004,5068,
2808,16004,5092,
2848,15952,5264,
2872,15976,5264,
2908,16052,5292,
2892,16032,5284,
2932,16056,5256,
3032,16096,5400,
3016,16044,5144,
3004,16136,5128,
3148,16208,4976,
3068,16236,4796,
2980,16168,4720,
3084,16148,4436,
3036,16164,4224,
3036,16160,4136,
3000,16164,3872,
2864,16164,3580,
2924,16096,3672,
2972,16080,3832,
2772,16076,3832,
2612,16140,3936,
2532,16160,4064,
2700,16304,4052,
2596,16248,4164,
2612,16212,4128,
2516,16224,4252,
2564,16204,4400,
2548,16220,4460,
2552,16180,4480,
2644,16096,4496,
2644,16136,4388,
2644,16164,4468,
2556,16124,4544,
2644,16124,4572,
2712,16164,4500,
2600,16320,4500,
2612,16220,4528,
2516,16220,4504,
2540,16244,4452,
2504,16200,4444,
2528,16168,4508,
2492,16176,4652,
2540,16196,4828,
2632,16188,5004,
2612,16296,5188,
2624,16196,5180,
2716,16184,5408,
2716,16108,5420,
2824,16148,5476,
2912,16148,5408,
3008,16060,5192,
3064,15900,5192,
3004,15872,5272,
3092,15944,5188,
2964,15920,5328,
3028,15844,5224,
2972,15864,5220,
3008,15864,5308,
3028,15904,5408,
2976,15716,5348,
2856,15672,5524,
2928,15752,5368,
2908,15876,5288,
2908,15872,5196,
2880,15804,5304,
2820,15800,5160,
2816,15800,4960,
2788,15876,4888,
2728,15992,4888,
