ax,ay,az,
5828,0,4588,
2364,15792,4564,
2248,15884,4664,
2248,15860,4596,
2240,15900,4652,
2104,15900,4564,
2124,15900,4528,
2376,15836,4528,
2388,15832,4412,
2360,15816,4460,
2316,15860,4592,
2236,15792,4504,
2348,15852,4484,
2300,15916,4632,
2356,15884,4800,
2336,15940,4596,
2336,15876,4516,
2396,15808,4496,
2336,15824,4436,
2336,15864,4460,
2368,15908,4516,
2380,15908,4540,
2296,15888,4724,
2332,15956,4588,
2308,15860,4588,
2504,15824,4528,
2388,15820,4628,
2360,15804,4684,
2264,15900,4752,
2232,15892,4584,
2320,15892,4636,
2248,15844,4588,
2280,15904,4668,
2280,15836,4572,
2280,15812,4636,
2280,15792,4612,
2272,15852,4536,
2312,15844,4428,
2368,15844,4576,
2268,15876,4548,
2212,15748,4548,
2128,15776,4636,
2132,15824,4652,
2264,15892,4596,
2348,15916,4596,
2424,15844,4492,
2244,15832,4604,
2260,15824,4668,
2292,15804,4604,
2356,15904,4680,
2228,15832,4688,
2288,15740,4720,
2288,15724,4652,
2208,15760,4652,
2304,15760,4548,
2364,15740,4512,
2260,15848,4512,
2292,15876,4564,
2380,15720,4692,
2316,15868,4700,
2364,15856,4556,
2352,15776,4576,
2248,15796,4596,
2212,15912,4600,
2280,15928,4604,
2232,15924,4460,
2400,15864,4576,
2444,15888,4464,
2444,15888,4560,
2428,15840,4536,
2236,15840,4492,
2208,16000,4524,
2280,15988,4568,
2428,15840,4568,
2416,15888,4556,
2276,15868,4628,
2372,15852,4588,
2416,15868,4624,
2332,15908,4492,
2384,15880,4512,
2380,15868,4548,
2356,15888,4428,
2412,15912,4424,
2432,15832,4484,
2432,15752,4484,
2424,15808,4408,
2416,15884,4572,
2316,15884,4724,
2304,15848,4660,
2292,15752,4660,
2428,15732,4624,
2304,15848,4596,
2268,15896,4632,
2284,15792,4660,
2320,15740,4584,
2420,15720,4608,
2368,15792,4620,
2276,15760,4724,
2292,15736,4768,
2364,15728,4788,
2420,15780,4696,
2420,15772,4628,
2272,15808,4716,
2276,15808,4736,
2348,15828,4692,
2276,15724,4692,
2272,15884,4816,
2284,15940,4840,
2364,15844,4748,
2208,15836,4724,
2268,15916,4740,
2308,15860,4712,
2336,15876,4580,
2316,15952,4476,
2324,15960,4476,
2184,15964,4520,
2244,15888,4516,
2244,15876,4416,
2320,15832,4520,
2268,15832,4396,
2308,15852,4196,
2304,15900,4216,
2324,15852,4216,
2352,15820,4272,
2508,15680,4196,
2320,15840,4196,
2324,15876,4120,
2444,15796,4044,
2436,15788,4056,
2332,15852,4060,
2416,15840,4116,
2400,15888,4096,
2488,15824,4024,
2488,15896,4020,
2532,15816,4228,
2612,15852,4284,
2452,15852,4240,
2496,15888,4336,
2424,15780,4336,
2412,15816,4492,
2396,15868,4692,
2384,15844,4696,
2216,15820,4808,
2332,15832,4812,
2296,15832,4644,
2356,15852,4732,
2288,15852,4864,
2288,15852,4984,
2260,15772,4856,
2216,15804,5068,
2216,15852,5048,
2216,15908,5056,
2380,15908,5052,
2232,15892,4980,
2280,15908,4980,
2368,15916,4768,
2408,15924,4632,
2368,15888,4684,
2340,15920,4812,
2428,15856,4728,
2344,15844,4720,
2332,15860,4600,
2328,15884,4568,
2316,15892,4636,
2332,15940,4508,
2304,15924,4476,
2304,15856,4384,
2268,15864,4368,
2352,15864,4388,
2260,15932,4488,
2216,15916,4384,
2236,15896,4384,
2316,15900,4392,
2220,15888,4480,
2292,15844,4552,
2172,15780,4380,
2184,15736,4268,
2220,15780,4368,
2200,15696,4460,
2080,15708,4420,
2140,15808,4524,
1980,15764,4608,
2032,15764,4628,
2032,15848,4756,
1936,15752,4588,
2004,15752,4620,
2020,15820,4540,
1924,15748,4540,
1952,15652,4620,
1964,15816,4600,
2060,15780,4564,
2044,15800,4684,
2096,15876,4632,
2180,15900,4760,
2184,15952,4804,
2232,15868,4740,
2232,15888,4712,
2180,15888,4788,
2096,15948,4780,
2096,15976,4648,
2344,15968,4624,
2188,15968,4636,
2304,15976,4684,
2356,15948,4684,
2368,16028,4732,
2416,16076,4724,
2380,16000,4572,
2432,15992,4596,
2404,16072,4628,
2592,15972,4776,
2540,15956,4672,
2416,15968,4540,
2452,15980,4564,
2532,15988,4464,
2648,15900,4540,
2648,15952,4564,
2444,15908,4468,
2500,15956,4524,
2404,15956,4624,
2572,15940,4624,
2496,15876,4624,
2448,15920,4588,
2464,15920,752,
2160,15960,4272,
2160,15988,4248,
2208,15948,4256,
2296,16024,4176,
2296,16052,4148,
2252,16052,4084,
2148,16052,4180,
2224,15984,4180,
2132,16020,4180,
2192,16000,4164,
2232,16008,4120,
2072,16032,4064,
2184,16072,4160,
2208,16092,4192,
2196,16064,4128,
2324,16084,4128,
2216,16068,4176,
2384,16068,4140,
2328,16072,4120,
2372,16052,4068,
2372,16100,3924,
2296,16116,3912,
2260,16116,4020,
2316,16176,4012,
2208,16108,4012,
2312,16152,4132,
2392,16116,4224,
2384,16068,4120,
2276,16108,4152,
2344,16100,4116,
2276,16116,4036,
2304,16156,4120,
2272,16116,4052,
2364,16088,3824,
2296,16076,3860,
2308,16036,3976,
2308,15912,4052,
2192,15936,3964,
2264,16008,4080,
2160,16008,3984,
2032,16076,3944,
2104,16036,3944,
2208,16032,3944,
2212,16008,3976,
2240,16024,4068,
2220,16052,3988,
2236,16040,3972,
2264,16068,4144,
2084,16092,4104,
2080,16124,4092,
2132,16204,4120,
2064,16160,4036,
2044,16092,3972,
2044,16040,3868,
2020,16144,3912,
2204,16144,3848,
2200,16192,3892,
2228,16116,3892,
2092,16152,3832,
2244,16064,3864,
2156,16148,3868,
2132,16084,3876,
2048,16096,3864,
2208,16156,4036,
2124,16140,3804,
2096,16036,3980,
2132,16052,3904,
2108,16160,3900,
2100,16212,3992,
2100,16172,3972,
2044,16072,3824,
2116,16072,3672,
2244,16112,3684,
2184,16156,3864,
2236,16148,3864,
2192,16108,3880,
2188,16132,3876,
2248,16164,3916,
2252,16084,3876,
2184,15980,3868,
2208,16036,3812,
2164,16132,3752,
2192,16180,3752,
2148,16040,3796,
2180,15988,3724,
2184,16044,3764,
2184,16008,3856,
2220,15996,3776,
2276,15996,3660,
2252,16040,3748,
2236,16052,3748,
2232,16012,3684,
2220,16024,3668,
2264,15996,3764,
2300,16120,3808,
2264,16132,3752,
2252,16044,3720,
2260,15964,3724,
2268,16024,3716,
2312,16036,3688,
2296,16000,3780,
2256,15972,3744,
2256,16044,3832,
2308,16156,3752,
2336,16156,3660,
2220,16204,3692,
2344,16136,3692,
2376,16220,3644,
2280,16096,3588,
2380,16108,3656,
2340,16204,3768,
2368,16216,3872,
2444,16192,3776,
2456,16204,3868,
2424,16152,3712,
2444,16012,3640,
2412,16092,3684,
2588,16096,3812,
2588,16144,3764,
2528,16052,3716,
2468,16076,3740,
