ax,ay,az,
2316,15868,4532,
2292,15892,4532,
2296,16016,4532,
2184,15892,4584,
2188,15852,4664,
2188,15832,4628,
2180,15780,4604,
2132,15844,4644,
2080,15860,4696,
2084,15840,4584,
2096,15828,4492,
2080,15748,4584,
2152,15828,4520,
2132,15816,4460,
2132,15804,4500,
2080,15780,4480,
2156,15780,4512,
2212,15836,4508,
2228,15780,4508,
2192,15772,4528,
2216,15828,4352,
2232,15836,4288,
2256,15876,4380,
2208,15864,4316,
2124,15916,4404,
2128,15864,4288,
2124,15896,4444,
2220,15768,4388,
2224,15828,4332,
2148,15884,4292,
2148,15820,4484,
2064,15788,4444,
2088,15788,4240,
2164,15732,4208,
2172,15748,4208,
2056,15720,4264,
1964,15680,4476,
2008,15644,4416,
2028,15652,4492,
2040,15636,4368,
1928,15600,4404,
1964,15608,4452,
2040,15668,4400,
1996,15696,4416,
1920,15736,4388,
2028,15644,4500,
2028,15656,4608,
2032,15708,4532,
1924,15708,4624,
1964,15788,4636,
1928,15760,4636,
2048,15692,4488,
2140,15728,4576,
2052,15716,4628,
2024,15748,4548,
2016,15736,4484,
2076,15704,4588,
2112,15696,4436,
2016,15692,4464,
2012,15708,4580,
2104,15700,4448,
2084,15788,4396,
2084,15796,4436,
2068,15764,4544,
2036,15764,4384,
2152,15628,4472,
2192,15664,4460,
2192,15696,4460,
2248,15764,4312,
2388,15696,4304,
2380,15680,4332,
2352,15712,4336,
2332,15692,4356,
2372,15616,4368,
2336,15552,4328,
2416,15508,4372,
2368,15584,4284,
2344,15564,4348,
2344,15636,4216,
2332,15600,4316,
2280,15572,4376,
2336,15572,4344,
2344,15548,4336,
2384,15508,4336,
2324,15588,4384,
2392,15492,4452,
2352,15616,4360,
2304,15508,4340,
2236,15504,4332,
2240,15628,4360,
2300,15596,4368,
2260,15640,4544,
2408,15736,4500,
2208,15584,4480,
2244,15572,4448,
2244,15584,4672,
2316,15632,4652,
2360,15632,4488,
2280,15604,4516,
2324,15680,4516,
2356,15688,4564,
2372,15632,4540,
2280,15636,4508,
2324,15712,4528,
2292,15788,4508,
2296,15820,4584,
2348,15796,4700,
2348,15780,4604,
2316,15768,4496,
2364,15860,4528,
2292,15884,4576,
2292,15804,4624,
2388,15728,4544,
2460,15728,4556,
2324,15836,4532,
2248,15740,4532,
2280,15712,4448,
2332,15748,4620,
2224,15824,4548,
2204,15768,4528,
2252,15736,4636,
2300,15756,4488,
2244,15860,4540,
2256,15876,4600,
2296,15824,4540,
2284,15884,4508,
2392,15888,4516,
2392,15896,4644,
2348,15912,4672,
2248,15912,4696,
2264,15912,4648,
2268,15976,4696,
2204,15952,4696,
2308,15920,4820,
2376,15912,4828,
2244,15992,4740,
2196,16028,4764,
2200,15988,4736,
2284,16052,4664,
2308,16016,4672,
2316,16044,4728,
2360,16004,4712,
2400,16100,4672,
2400,16100,4684,
2320,16044,4520,
2328,16152,4572,
2344,16152,4624,
2308,16096,4448,
2332,16016,4448,
2308,16096,4460,
2248,16128,4576,
2344,16056,4564,
2308,16096,4604,
2276,16216,4504,
2264,16200,4400,
2264,16148,4420,
2324,16064,4460,
2292,16040,4420,
2320,16112,4336,
2296,16124,4448,
2296,16120,4564,
2204,16152,4440,
2292,16152,4460,
2340,16108,4460,
2328,16100,4460,
2368,16052,4448,
2340,16020,4372,
2392,16092,4436,
2380,16112,4624,
2328,16056,4660,
2396,16036,4540,
2372,16052,4436,
2268,15996,4504,
2384,15948,4532,
2396,15916,4516,
2400,15992,4560,
2400,16016,4628,
2396,15980,4688,
2316,15980,4588,
2368,15976,4596,
2408,15956,4596,
2296,15948,4608,
2384,15924,4668,
2428,15996,4748,
2496,15976,4588,
2384,15996,4596,
2332,15948,4756,
2344,15992,4720,
2352,15988,4696,
2372,15908,4652,
2304,15912,4672,
2312,15968,4684,
2312,15928,4596,
2296,15996,4492,
2324,15996,4464,
2352,16004,4700,
2368,15968,4752,
2368,16000,4752,
2432,15984,4716,
2356,16040,4608,
2312,16024,4524,
2276,16024,4612,
2292,16012,4588,
2240,16008,4584,
2176,15904,4620,
2220,15992,4692,
2308,16044,4572,
2272,15984,4672,
2272,15976,4716,
2316,15968,4780,
2228,16036,4784,
2344,16036,4744,
2384,16084,4656,
2276,16024,4656,
2224,16044,4564,
2232,16024,4688,
2320,16028,4848,
2344,16100,4904,
2344,16144,4776,
2308,16044,4776,
2312,15988,4800,
2192,15984,4272,
2488,16016,4280,
2508,16060,4356,
2544,15996,4356,
2504,15952,4364,
2500,15980,4336,
2352,15948,4280,
2304,16004,4260,
2284,15900,4168,
2304,15964,4204,
2376,15944,4236,
2392,15968,4324,
2276,15940,4276,
2332,15944,4248,
2240,15964,4392,
2240,15908,4256,
2372,16036,4220,
2368,16060,4224,
2268,16060,4192,
2240,15960,4104,
2284,16036,4104,
2292,15904,4116,
2268,16016,4096,
2284,16056,4052,
2220,15964,4216,
2196,16072,4268,
2280,16008,4232,
2204,15980,4048,
2196,16012,4056,
2116,16052,4192,
2044,16092,4264,
2076,16008,4072,
2076,15940,4256,
2116,15988,4240,
2076,15988,4120,
1932,16036,4176,
2076,15984,4176,
2024,15944,4188,
1956,15964,4132,
1904,16052,4064,
1896,16020,4164,
1904,15960,4104,
1948,15960,4144,
1900,16052,4104,
1816,16032,3956,
1920,15988,4016,
1792,15900,3876,
1752,15888,3988,
1752,15916,3988,
1872,15860,4132,
1800,15860,4148,
1788,15964,4156,
1744,15972,4068,
1744,15872,4068,
1704,15884,3992,
1676,15856,4052,
1636,15832,4148,
1648,15836,4096,
1664,15796,4144,
1580,15832,4004,
1544,15788,3980,
1640,15772,4096,
1592,15748,4056,
1600,15836,4188,
1600,15848,4076,
1604,15836,3924,
1616,15828,3884,
1604,15828,3792,
1404,15764,3800,
1424,15836,3800,
1444,15824,3896,
1472,15776,3884,
1528,15768,4036,
1472,15760,3892,
1444,15696,3804,
1512,15808,3912,
1368,15920,3916,
1404,15844,3960,
1468,15816,3848,
1564,15848,3976,
1556,15856,4116,
1556,15820,4092,
1480,15732,4016,
1416,15732,3992,
1480,15720,3956,
1508,15836,3956,
1552,15804,4096,
1500,15760,4136,
1456,15816,4084,
1464,15808,4092,
1544,15800,4284,
1436,15828,4208,
1560,15764,4184,
1544,15760,4168,
1564,15784,4164,
1512,15720,4148,
1636,15792,4072,
1636,15864,4280,
1644,15892,4152,
1612,15892,4176,
1608,15892,4172,
1448,15872,4120,
1620,15916,4120,
1624,15960,4224,
1636,15952,4288,
1652,15900,4184,
1596,15936,4184,
1676,16080,4296,
1696,16124,4328,
1652,16044,4376,
1528,16072,4352,
1692,16048,4464,
1684,16120,4500,
1648,16128,4436,
1648,16172,4296,
1644,16160,4376,
1700,16160,4392,
1716,16088,4360,
1708,16136,4360,
1720,16188,4476,
1648,16112,4316,
1740,16164,4272,
1676,16144,4360,
1648,16208,4456,
1704,16220,4352,
1704,16224,4276,
1744,16260,4320,
1776,16196,4436,
1796,16188,4340,
1744,16168,4416,
1744,16120,4484,
1768,16236,4392,
1748,16236,4432,
1660,16224,4520,
1768,16208,4520,
1788,16168,4376,
1768,16192,4476,
1764,16108,4304,
1744,16140,4256,
1756,16160,4332,
1752,16168,4404,
1764,16088,4536,
1872,16052,4540,
1860,16056,4604,
1852,16044,4652,
1924,16040,4516,
1924,15996,4544,
2008,15948,4472,
2040,15944,4392,
2000,15944,4268,
1944,15848,4328,
1976,15808,4328,
1984,15872,4556,
2048,15872,4508,
2100,15940,4408,
2088,15880,4384,
2164,15848,4364,
2092,15832,4380,
2128,15872,4292,
2100,15668,4400,
2044,15776,4504,
2108,15816,4544,
2164,15736,4424,
2164,15684,4440,
2132,15700,4308,
2120,15700,4360,
2124,15700,4316,
2212,15704,4316,
2216,15740,4520,
2244,15736,4396,
2292,15756,4460,
2208,15732,4408,
2132,15708,4384,
2160,15676,4444,
2156,15620,4532,
2272,15592,4564,
2296,15652,4444,
2348,15644,4348,
2352,15532,4460,
2352,15508,4584,
2340,15636,4596,
2244,15636,4612,
2320,15668,4420,
2348,15608,4276,
2424,15704,4276,
2416,15760,4260,
2444,15640,4492,
2352,15672,4528,
2284,15656,4384,
2300,15668,4396,
2368,15672,4492,
2396,15716,4484,
2356,15640,4336,
2332,15644,4348,
2372,15652,4444,
2372,15676,4304,
2372,15624,4304,
2368,15672,4332,
2456,15672,4324,
2464,15656,4516,
2528,15684,4516,
2400,15612,4456,
2452,15696,4344,
2524,15700,4368,
2412,15660,4308,
2348,15664,4268,
2332,15640,4332,
2348,15596,4344,
2372,15664,4272,
2364,15764,4408,
2352,15680,4396,
2340,15720,4432,
2340,15772,4312,
2376,15708,4400,
2428,15708,4500,
2464,15736,4384,
2412,15712,4384,
2356,15788,4460,
2332,15676,4496,
2380,15732,4312,
2416,15732,4228,
2404,15780,4392,
2392,15832,4284,
2344,15740,4360,
2364,15756,4436,
2364,15792,4400,
2320,15776,4392,
2332,15744,4636,
2332,15756,4476,
2324,15844,4440,
2324,15844,4376,
2324,15904,4396,
2324,15724,4388,
2184,15796,4388,
2264,15792,4296,
2148,15764,4340,
2292,15768,4396,
2344,15792,4328,
2324,15748,4364,
2316,15796,4324,
2208,15744,4296,
2224,15728,4332,
2268,15720,4388,
2352,15812,4552,
2276,15856,4484,
2276,15800,4332,
2260,15780,4320,
2180,15780,4332,
2196,15800,4528,
2064,15736,4528,
2176,15764,4364,
2284,15812,4288,
2208,15920,4348,
2012,15900,4176,
2148,15796,4184,
2132,15816,4416,
2160,15732,4476,
2128,15700,4280,
2076,15784,4336,
2172,15860,4384,
2160,15784,4444,
2160,15756,4336,
2152,15816,4216,
2132,15816,4280,
2076,15768,4484,
2092,15760,4484,
2088,15836,4432,
2124,15780,4360,
2148,15740,4396,
2152,15836,4464,
2116,15776,4416,
2132,15800,4316,
2144,15784,4280,
2096,15816,4388,
2156,15696,4524,
2148,15688,4436,
2008,15720,4440,
2008,15680,4388,
2108,15760,4388,
2104,15792,4476,
2152,15792,4572,
2188,15744,4692,
2164,15752,4692,
2200,15664,4624,
2212,15788,4440,
2112,15780,4420,
2156,15776,4496,
2220,15732,4448,
2256,15752,4432,
2220,15772,4540,
2188,15760,4528,
2144,15748,4524,
2156,15780,4480,
2180,15828,4512,
2180,15776,4576,
2216,15804,4572,
2168,15804,4508,
2088,15848,4352,
2172,15840,4352,
2208,15840,4416,
2332,15832,4456,
2216,15880,4556,
2120,15860,4448,
2020,15756,4576,
2000,15724,4484,
2144,15808,4460,
2124,15832,4500,
2036,15688,4592,
2012,15656,4536,
2064,15732,4548,
2064,15692,4512,
2104,15720,4484,
2116,15720,4596,
2212,15724,4620,
2164,15656,4620,
2136,15756,4640,
2064,15736,4620,
2060,15716,4636,
2172,15680,4688,
2168,15596,4684,
2040,15668,4676,
1972,15640,4636,
2232,15736,4540,
2156,15780,4500,
2180,15688,4640,
2176,15580,4700,
2176,15644,4560,
