ax,ay,az,label
3360,13680,9308,
3392,13848,9248,
3416,13800,9492,
3416,13736,9456,
3360,13756,9400,
3424,13704,9512,
3488,13664,9540,
3432,13620,9640,
3340,13660,9700,
3372,13640,9708,
3372,13596,9668,
3364,13632,9704,
3324,13632,9676,
3384,13616,9596,
3232,13652,9668,
3232,13600,9668,
3156,13616,9648,
3128,13684,9660,
3152,13664,9660,
3036,13540,9564,
3156,13508,9480,
3052,13516,9508,
3044,13476,9520,
3080,13496,9396,
3200,13544,9424,
3320,13540,9504,
3320,13608,9452,
3208,13596,9592,
3332,13500,9560,
3460,13500,9416,
3448,13400,9288,
3492,13500,9288,
3560,13568,9272,
3632,13428,9404,
3756,13476,9468,
3848,13516,9444,
3840,13536,9392,
3896,13504,9432,
3840,13484,9516,
3924,13504,9468,
4060,13472,9436,
4060,13440,9468,
3960,13416,9564,
3960,13372,9640,
3932,13416,9656,
4008,13416,9612,
3936,13476,9748,
4040,13452,9748,
3916,13400,9660,
3892,13420,9772,
3924,13408,9772,
3888,13412,9652,
3776,13400,9752,
3760,13472,9740,
3772,13416,9640,
3680,13500,9812,
3532,13500,9812,
3476,13544,9728,
3452,13528,9860,
3452,13556,9784,
3428,13504,9684,
3344,13504,9640,
3432,13564,9608,
3360,13556,9608,
3324,13528,9648,
3352,13556,9604,
3300,13544,9648,
3228,13480,9748,
3144,13528,9616,
3124,13480,9528,
3068,13540,9616,
3080,13516,9716,
3100,13624,9680,
3152,13468,9724,
3100,13580,9680,
3100,13572,9636,
3116,13512,9560,
3076,13512,9572,
3072,13564,9640,
3176,13600,9640,
3168,13524,9696,
3100,13560,9508,
3156,13544,9532,
3152,13528,9584,
3112,13516,9544,
3140,13556,9528,
3232,13496,9612,
3188,13548,9588,
3192,13504,9492,
3172,13476,9480,
3240,13496,9520,
3240,13496,9516,
3160,13532,9516,
3200,13532,9432,
3132,13492,9384,
3132,13464,9528,
3092,13488,9528,
3148,13492,9508,
3312,13488,9416,
3256,13548,9368,
3284,13484,9344,
3280,13480,9504,
3292,13596,9420,
3232,13496,9340,
3272,13468,9524,
3284,13584,9544,
3284,13544,9516,
3284,13488,9496,
3296,13516,9456,
3348,13472,9468,
3224,13472,9524,
3272,13500,9544,
3344,13556,9544,
3348,13492,9432,
3404,13548,9448,
3424,13596,9480,
3432,13572,9532,
3384,13568,9584,
3448,13540,9508,
3436,13576,9528,
3448,13560,9480,
3432,13548,9460,
3380,13552,9560,
3432,13480,9640,
3432,13524,9616,
3460,13528,9568,
3408,13528,9504,
3464,13544,9564,
3428,13612,9564,
3472,13512,9616,
3500,13464,9644,
3540,13572,9600,
3472,13540,9508,
3372,13492,9524,
3500,13680,9544,
3552,13580,9432,
3460,13612,9440,
3428,13648,9584,
3520,13640,9452,
3532,13516,9400,
3532,13504,9312,
3596,13512,9464,
3584,13512,9672,
3572,13588,9560,
3464,13532,9560,
3488,13568,9600,
3520,13584,9632,
3584,13540,9632,
3472,13508,9496,
3644,13488,9644,
3528,13488,9624,
3568,13504,9540,
3528,13460,9544,
3532,13428,9488,
