ax,ay,az,label
1900,13988,8940,
1988,13980,8916,
2088,14040,8916,
1896,14076,8840,
1932,14012,8928,
1948,14016,8944,
1960,14056,8956,
2024,14092,8800,
2096,14072,8880,
2088,13984,9004,
2116,13940,9020,
2036,13984,9032,
2096,13976,8908,
2052,14016,8892,
2052,13968,8928,
1992,13944,9024,
2044,13944,9156,
2056,14044,9200,
2200,14012,9200,
2200,13956,9112,
2200,13980,9020,
2096,13928,9024,
2136,13920,8988,
2136,14032,9052,
2124,14036,9112,
2224,13976,9184,
2232,13932,9016,
2140,13916,8968,
2148,13920,8992,
2244,13944,9040,
2244,14012,9072,
2180,14056,9132,
2088,14056,9148,
2212,13948,9152,
2180,13912,9004,
2192,13876,9004,
2204,13936,8996,
2284,14024,9004,
2300,13932,9112,
2288,13948,9016,
2288,14044,9120,
2268,13984,9208,
2284,14032,8964,
2320,14112,9104,
2256,13988,9164,
2324,13920,9132,
2324,14028,9204,
2364,14044,9076,
2384,14164,9116,
2344,14164,9000,
2352,14180,8996,
2408,14076,8996,
2332,13952,8952,
2384,13992,9024,
2404,14120,9004,
2392,14036,8944,
2352,14060,9028,
2356,14040,8996,
2456,13948,9056,
2440,13968,9092,
2500,14068,9116,
2416,14064,9140,
2416,13944,9004,
2368,13964,9092,
2352,14008,8968,
2436,14008,8996,
2384,14008,9128,
2396,14000,9128,
2444,13980,8992,
2512,14032,9052,
2416,14068,8956,
2380,14052,9100,
2244,14100,9016,
2352,14072,9100,
2412,14064,9096,
2304,13956,9032,
2328,14080,9016,
2392,14036,9056,
2280,13956,9108,
2280,13960,9060,
2328,14040,8984,
2300,14040,9092,
2240,14004,8952,
2300,13928,8952,
2208,13912,9084,
2296,13952,9040,
2252,13928,9036,
2156,14032,8984,
2168,13944,9012,
2120,13892,9092,
2132,13860,8956,
2072,13832,8976,
2052,13888,9048,
2052,13952,8996,
2080,14000,8992,
2080,14024,9028,
2048,13944,9164,
2008,13944,9236,
1920,13932,9092,
1984,13920,9092,
2008,13976,9176,
2012,13916,9040,
1884,13864,9116,
1892,13912,9228,
1988,13904,9236,
2016,13996,9072,
1952,14032,9016,
1948,13940,8984,
1988,13952,9088,
2116,13940,9128,
2068,13912,9004,
2068,13940,9036,
2016,14024,8996,
2060,14024,9096,
2156,14020,9056,
2180,14120,9056,
2112,14112,8972,
2220,14164,8916,
2236,14248,8984,
2312,14100,8960,
2316,14224,9048,
2272,14204,9144,
2276,14180,9132,
