ax,ay,az,label
744,14228,9272,
764,14224,9312,
764,14172,9232,
740,14112,9312,
788,14112,9280,
680,14132,9396,
644,14136,9436,
672,14044,9436,
640,14064,9324,
612,14140,9312,
648,14208,9408,
812,14144,9492,
716,14068,9456,
628,14068,9340,
620,14036,9324,
580,14108,9240,
524,14112,9340,
532,14016,9348,
532,14080,9388,
588,14180,9248,
612,14184,9188,
704,14184,9340,
684,14164,9268,
636,14260,9268,
612,14196,9268,
588,14184,9368,
668,14248,9356,
596,14208,9296,
616,14212,9432,
696,14280,9552,
728,14264,9516,
748,14208,9296,
832,14292,9328,
808,14276,9284,
808,14336,9240,
820,14300,9052,
840,14300,9008,
780,14300,9060,
760,14372,9328,
792,14316,9328,
704,14340,9312,
580,14280,9304,
608,14288,9168,
676,14316,9212,
788,14352,9176,
748,14360,9356,
716,14248,9364,
760,14252,9212,
720,14220,9208,
752,14156,9136,
752,14172,9244,
680,14208,9340,
584,14144,9436,
588,14144,9424,
584,14152,9300,
492,14080,9300,
556,14144,9272,
432,14160,9412,
428,14288,9584,
544,14156,9376,
472,14104,9328,
488,13996,9352,
608,13988,9172,
608,14108,9204,
636,14104,9416,
560,14092,9376,
444,14060,9440,
444,14020,9400,
572,14060,9404,
540,14060,9604,
540,13988,9444,
528,14048,9444,
560,14184,9504,
592,14212,9512,
588,14112,9448,
672,14184,9324,
740,14168,9144,
716,14080,9020,
744,14136,9220,
684,14240,9392,
652,14224,9456,
580,14116,9444,
668,14180,9316,
668,14172,9164,
796,14224,9316,
724,14224,9360,
664,14136,9136,
752,14172,9136,
820,14188,9044,
736,14192,9000,
804,14116,8984,
936,14140,8832,
800,14160,8864,
724,14220,9068,
840,14148,9160,
740,14052,9304,
624,14092,9080,
592,14016,9128,
740,14060,9216,
740,14104,9244,
768,14100,9128,
772,14100,9104,
652,14080,9044,
656,14152,9044,
656,14284,9196,
564,14288,9160,
596,14256,9060,
580,14228,9004,
628,14204,9064,
596,14316,9068,
380,14316,9160,
400,14236,9156,
428,14184,9104,
500,14132,9016,
576,14044,8880,
576,14200,8792,
484,14096,9020,
468,14096,9068,
512,14108,9112,
484,14108,9112,
512,14244,9148,
448,14228,9168,
472,14148,9116,
544,14112,9060,
444,14164,9048,
324,14224,9024,
284,14184,8916,
428,14176,8764,
516,14248,8964,
480,14204,9004,
516,14112,9016,
516,14232,8960,
572,14220,8936,
500,14220,8836,
444,14136,8836,
508,14184,8836,
496,14192,8724,
476,14168,8760,
512,14244,8836,
596,14244,8648,
668,14152,8920,
616,14124,8896,
640,14120,8920,
580,14160,8964,
656,14176,9128,
684,14196,9040,
620,14164,8884,
620,14256,8896,
632,14236,9068,
648,14236,8872,
604,14236,8852,
720,14208,8936,
596,14220,8936,
708,14216,8928,
676,14232,8804,
592,14208,8776,
660,14340,8760,
648,14408,8684,
644,14292,8748,
668,14320,8836,
748,14340,8888,
652,14300,8756,
692,14384,8728,
692,14332,8636,
656,14276,8724,
568,14276,8748,
588,14248,8680,
648,14328,8600,
648,14396,8600,
600,14204,8740,
500,14140,8860,
644,14264,8604,
712,14260,8724,
660,14228,8844,
684,14220,8844,
664,14240,8740,
596,14168,8696,
656,14148,8776,
656,14184,8824,
656,14124,8808,
716,14152,8944,
628,14120,8912,
600,14120,8928,
716,14072,8896,
776,14096,8896,
744,14132,8812,
724,14076,8712,
768,13996,8752,
692,13944,8820,
728,14080,8864,
824,14096,8784,
888,14096,8956,
784,14080,8844,
680,14128,8780,
816,14060,8844,
