ax,ay,az,
56,14144,9004,
60,14200,9088,
12,14200,9172,
64,14228,9164,
144,14264,9164,
112,14296,9160,
192,14240,9048,
172,14280,9152,
276,14220,8960,
288,14296,9048,
244,14288,9148,
320,14300,8932,
296,14272,9012,
292,14228,9068,
256,14296,8928,
256,14356,8992,
300,14168,9032,
316,14220,9000,
404,14220,8916,
464,14200,8888,
256,14192,8888,
264,14152,9016,
428,14168,8952,
300,14204,9092,
324,14272,9040,
300,14216,8908,
324,14216,8940,
340,14216,8880,
348,14268,8904,
280,14332,8836,
212,14328,8868,
212,14312,9076,
208,14320,9028,
188,14340,8888,
188,14340,8940,
180,14356,9016,
44,14388,9016,
68,14344,8916,
120,14400,8816,
28,14388,8992,
8,14372,8952,
52,14400,8984,
68,14424,9024,
16,14428,8924,
20,14340,8832,
24,14464,8892,
84,14484,8896,
12,14468,8920,
12,14384,8888,
80,14424,9012,
88,14424,9036,
24,14420,8924,
32,14388,8924,
44,14444,8996,
20,14432,8908,
120,14400,9056,
248,14460,8800,
244,14484,8760,
160,14452,8932,
204,14340,9072,
260,14316,8992,
188,14352,9008,
332,14312,8992,
360,14156,9040,
360,14128,9028,
388,14280,9084,
304,14280,9128,
384,14196,9092,
372,14220,9092,
348,14236,9168,
460,14320,8996,
520,14228,8992,
484,14232,9032,
364,14228,8976,
288,14232,8972,
320,14292,8880,
344,14280,8832,
340,14304,8880,
228,14280,9004,
244,14244,8996,
244,14280,9004,
132,14260,8964,
164,14260,8984,
84,14216,9112,
84,14232,9112,
112,14264,8928,
168,14232,9008,
132,14260,8928,
172,14340,9020,
296,14356,8964,
292,14328,8908,
280,14312,9032,
340,14352,9028,
376,14308,8848,
500,14316,8796,
456,14436,8976,
456,14376,8944,
452,14344,9036,
576,14344,9004,
552,14456,8928,
544,14380,8928,
592,14320,8964,
528,14220,9084,
488,14256,9000,
516,14280,8956,
396,14340,8928,
356,14312,9020,
292,14308,8960,
248,14256,8904,
376,14236,8992,
300,14304,9088,
240,14300,9000,
240,14296,9128,
236,14356,9140,
92,14292,9024,
48,14292,9168,
108,14296,9104,
92,14248,9104,
108,14200,8972,
120,14304,9088,
100,14328,9164,
64,14368,9104,
248,14424,9028,
240,14308,8964,
296,14188,9020,
192,14220,9024,
148,14260,9020,
148,14188,9096,
236,14144,9088,
236,14180,9108,
200,14256,9128,
188,14256,9020,
168,14252,9032,
176,14156,9032,
116,14120,9008,
176,14168,9024,
236,14216,9044,
208,14172,9092,
132,14100,9084,
212,14092,9072,
116,14116,8980,
172,14060,8948,
172,14088,8888,
148,14184,8968,
148,14132,9100,
208,14092,9016,
268,14012,9028,
292,14012,8992,
312,14132,8936,
248,14192,8936,
224,14236,8900,
204,14112,8940,
260,14112,8856,
340,14148,8772,
220,14112,8948,
272,14120,8912,
272,14092,8972,
220,14204,9044,
280,14220,8856,
200,14188,8828,
200,14228,8904,
88,14228,8888,
176,14284,8824,
148,14284,8928,
172,14304,8892,
144,14252,8892,
216,14264,8936,
164,14260,9028,
140,14248,9032,
136,14232,8868,
224,14284,9044,
216,14216,8864,
144,14300,8916,
168,14324,9032,
164,14300,8880,
160,14232,8908,
160,14200,8952,
92,14192,9024,
192,14152,9020,
164,14152,8948,
104,14216,8904,
112,14264,8904,
108,14208,8936,
136,14236,8912,
56,14272,8972,
164,14332,8924,
136,14280,9012,
72,14136,9120,
140,14080,8832,
192,14084,8972,
52,14128,9064,
84,14072,8992,
84,14132,9000,
128,14112,8960,
16,14128,8924,
20,14128,8836,
76,14216,8940,
84,14160,8940,
120,14092,8856,
92,14048,9104,
124,14136,9020,
4,14172,9092,
52,14096,9076,
56,14160,8904,
52,14156,9080,
56,14156,8988,
40,14248,9036,
124,14160,9104,
116,14076,9120,
116,14172,8968,
12,14288,9024,
48,14288,9172,
24,14208,9068,
72,14136,9068,
12,14184,9108,
32,14164,8980,
4,14224,8852,
12,14168,8936,
16,14192,8996,
44,14232,8952,
68,14228,8988,
40,14164,9076,
72,14160,9072,
96,14172,9112,
164,14232,9048,
164,14272,9076,
24,14272,9012,
56,14272,8864,
32,14232,9032,
28,14316,9032,
44,14232,9172,
96,14156,9068,
100,14232,9148,
32,14252,9088,
48,14292,9140,
20,14276,9020,
80,14148,8864,
36,14236,8920,
92,14244,8924,
132,14232,8996,
96,14120,8956,
96,14184,8976,
128,14192,9000,
196,14192,8964,
212,14176,8976,
136,14236,9020,
200,14208,9020,
260,14196,9072,
304,14144,8936,
308,14220,8952,
180,14136,9040,
216,14164,8896,
228,14152,8936,
244,14148,9024,
304,14236,8928,
232,14188,8848,
304,14124,8964,
304,14084,9040,
304,14140,9008,
248,14140,9000,
176,14080,9032,
252,14136,9092,
248,14140,9092,
176,14136,9084,
104,14224,9140,
156,14204,9120,
64,14220,8988,
40,14176,9068,
28,14120,9108,
76,14132,9148,
108,14124,9112,
200,14228,9176,
96,14184,9188,
96,14188,9184,
176,14216,9004,
168,14224,9028,
96,14224,8968,
144,14236,8944,
188,14352,8944,
100,14440,8952,
64,14360,9004,
0,14428,8976,
76,14528,9112,
36,14536,8968,
112,14492,8832,
132,14504,8868,
144,14596,8956,
112,14504,9088,
84,14488,9000,
72,14544,8904,
72,14484,8872,
124,14388,8908,
40,14388,8872,
12,14392,8840,
16,14344,8840,
52,14368,8640,
20,14260,8776,
68,14164,8760,
32,14144,8840,
24,14096,8876,
200,14088,8816,
172,14108,8748,
148,14072,8764,
164,14056,8840,
160,14128,8884,
256,14156,8860,
256,14208,9000,
200,14260,9060,
316,14260,9164,
300,14300,9148,
228,14340,9148,
172,14348,9156,
176,14380,9216,
164,14424,9212,
184,14388,9252,
228,14408,9316,
116,14360,9312,
244,14348,9260,
244,14268,9232,
236,14244,9120,
248,14256,9040,
280,14160,9124,
280,14216,8984,
276,14244,8932,
316,14244,8768,
276,14136,8812,
296,14056,8812,
288,14096,8852,
204,14144,8820,
196,14124,8764,
264,14080,8760,
236,14096,8688,
144,14124,8684,
100,14168,8740,
36,14168,8832,
20,14112,9004,
100,14144,8996,
68,14012,9132,
68,14076,9132,
196,14180,9028,
252,14180,9176,
220,14268,9204,
348,14212,9204,
324,14232,9184,
420,14256,9172,
332,14332,9188,
252,14340,9132,
220,14320,9060,
232,14328,9052,
376,14240,9244,
324,14300,9156,
336,14268,9120,
412,14260,9048,
200,14348,9056,
200,14300,9104,
120,14316,9100,
76,14316,9028,
76,14224,9060,
124,14248,8960,
140,14332,8960,
108,14236,9084,
84,14296,9092,
40,14340,9124,
84,14280,9060,
56,14232,8996,
24,14228,8992,
68,14212,9076,
136,14212,9100,
140,14204,9060,
160,14236,9224,
160,14260,9084,
160,14188,8900,
196,14256,9084,
224,14256,9104,
256,14220,9092,
264,14292,9092,
272,14288,9164,
224,14288,9040,
184,14232,9084,
216,14200,9172,
112,14256,9072,
172,14260,9104,
264,14256,9008,
244,14236,9080,
172,14196,9156,
140,14192,9224,
140,14200,9124,
220,14136,9080,
88,14236,9068,
88,14236,8956,
152,14152,8916,
188,14200,8916,
180,14232,8968,
224,14176,9096,
220,14168,9188,
76,14208,9100,
112,14244,9028,
180,14228,8944,
168,14220,8980,
124,14180,8968,
180,14232,8988,
216,14220,8920,
144,14244,9108,
144,14344,9144,
176,14284,8960,
164,14284,8960,
172,14248,9100,
192,14232,9100,
204,14292,8992,
164,14268,8888,
236,14288,9124,
220,14240,9068,
204,14232,9052,
192,14236,8928,
168,14212,9052,
216,14220,9100,
172,14264,9048,
104,14268,9080,
104,14352,9016,
208,14396,9008,
164,14332,8980,
196,14332,9036,
156,14260,9020,
108,14188,9020,
60,14276,9076,
140,14180,9020,
128,14208,9076,
200,14252,9052,
212,14272,8988,
300,14288,8996,
200,14208,8936,
200,14128,9060,
88,14192,9120,
28,14148,9020,
28,14140,9036,
140,14208,8996,
108,14156,8940,
148,14156,8976,
52,14180,8884,
12,14164,8884,
24,14200,8912,
12,14204,9008,
24,14196,9036,
8,14232,9124,
40,14244,9056,
28,14200,8884,
16,14224,8812,
52,14248,8932,
124,14248,9152,
80,14204,9288,
24,14244,9072,
24,14240,9088,
4,14220,9144,
84,14220,9052,
112,14192,9016,
112,14204,9016,
40,14248,9068,
8,14140,9036,
0,14216,9152,
16,14256,9076,
56,14368,9144,
40,14284,9076,
4,14204,9088,
84,14216,9040,
128,14232,9152,
184,14224,9188,
76,14384,9096,
76,14304,9032,
168,14268,9084,
172,14268,9124,
108,14272,9044,
60,14280,9124,
96,14216,9124,
64,14304,9196,
0,14260,9164,
92,14264,8972,
0,14292,9092,
48,14292,9140,
48,14328,9068,
16,14336,9100,
80,14208,9128,
72,14256,9124,
104,14212,8984,
36,14264,8996,
36,14228,9044,
60,14248,9020,
32,14248,9036,
32,14312,9012,
28,14180,9012,
96,14216,8956,
44,14208,9120,
0,14204,9088,
20,14176,8976,
20,14228,8896,
0,14184,8984,
36,14192,9068,
4,14176,8952,
196,14236,8884,
208,14180,8944,
124,14212,9016,
124,14232,8936,
88,14120,8972,
96,14120,8928,
64,14168,8992,
124,14188,8992,
140,14292,9124,
88,14272,8956,
4,14268,8920,
148,14228,9084,
156,14184,8984,
36,14276,8928,
56,14304,8948,
40,14304,9168,
24,14224,9060,
148,14304,8988,
140,14284,8924,
140,14308,9036,
84,14292,9064,
8,14292,9000,
40,14200,8960,
16,14220,9060,
72,14120,9060,
32,14164,8992,
44,14076,8828,
60,14128,8908,
80,14196,9080,
8,14228,9096,
92,14216,9164,
48,14296,9096,
64,14244,9092,
28,14184,9048,
44,14184,9072,
44,14164,9016,
24,14204,8944,
48,14112,9008,
12,14112,8988,
8,14156,9084,
68,14132,9084,
112,14248,9016,
52,14236,9132,
20,14212,9108,
40,14220,9084,
32,14252,9112,
44,14240,9088,
52,14272,9144,
88,14212,9060,
52,14188,9024,
12,14200,9032,
8,14276,8944,
8,14264,9044,
80,14176,9016,
64,14176,9076,
44,14148,9060,
104,14208,9060,
68,14236,9088,
20,14180,9248,
104,14232,9116,
64,14232,8972,
48,14260,8884,
80,14264,9004,
28,14204,9008,
28,14176,9044,
84,14276,9040,
28,14244,9016,
0,14180,9136,
0,14160,9140,
36,14232,9060,
64,14232,9060,
44,14248,9196,
32,14196,9164,
68,14176,9164,
96,14144,9100,
4,14104,9100,
68,14220,9144,
88,14204,9184,
96,14236,9188,
84,14288,9208,
68,14192,9328,
48,14292,9220,
60,14292,9100,
100,14240,9136,
52,14300,9108,
52,14316,8964,
8,14356,9168,
72,14356,9180,
52,14316,9092,
8,14364,9092,
36,14372,8964,
64,14332,9072,
16,14448,9048,
112,14396,9036,
220,14356,9084,
112,14304,8992,
84,14320,8988,
84,14272,8960,
20,14416,8996,
156,14356,8940,
144,14372,8980,
144,14300,9032,
36,14292,9044,
80,14292,9104,
12,14284,9060,
92,14280,8936,
4,14328,8936,
68,14284,8948,
24,14308,9016,
24,14172,8984,
104,14252,8952,
64,14192,9000,
60,14164,9004,
16,14132,9116,
72,14132,9028,
84,14216,9036,
116,14196,8968,
80,14224,8960,
80,14232,8996,
80,14208,9116,
100,14208,9024,
48,14244,9016,
72,14264,9016,
24,14196,8900,
48,14168,8936,
28,14176,9012,
60,14232,9080,
12,14352,8996,
84,14280,9036,
72,14288,9016,
0,14284,8968,
60,14284,9032,
56,14216,9112,
80,14204,9104,
80,14180,9132,
16,14168,9224,
12,14168,9064,
0,14152,8912,
0,14196,8912,
116,14228,8968,
76,14332,9116,
32,14320,8948,
32,14180,8884,
16,14244,8920,
48,14208,9032,
84,14252,9068,
44,14240,9008,
16,14176,8980,
68,14224,8908,
84,14260,8808,
84,14272,8904,
48,14196,8896,
32,14148,8832,
0,14148,8900,
20,14124,9012,
20,14148,9012,
56,14204,8924,
148,14272,8844,
44,14208,8952,
40,14196,8888,
28,14100,8880,
40,14204,9028,
136,14116,8984,
4,14148,8792,
4,14208,8856,
4,14196,9188,
60,14156,9112,
60,14248,9016,
40,14136,9048,
44,14136,8900,
8,14044,8932,
28,14156,8932,
52,14232,8988,
132,14216,8980,
24,14076,8968,
16,14248,8956,
36,14244,9068,
124,14252,9056,
76,14208,8876,
12,14228,8828,
52,14196,8976,
20,14272,8824,
36,14180,8964,
36,14208,9012,
64,14128,8960,
52,14128,8796,
16,14172,8928,
8,14232,8992,
40,14232,8992,
16,14244,9008,
52,14180,9008,
76,14204,8968,
76,14212,9020,
20,14192,8976,
24,14140,8840,
40,14176,8860,
116,14132,9024,
44,14128,8932,
136,14280,8828,
136,14304,8988,
144,14276,9012,
68,14208,9032,
104,14208,9040,
8,14168,8984,
120,14264,8984,
92,14200,9004,
76,14220,9040,
84,14208,8888,
64,14104,9072,
8,14148,9120,
32,14240,9036,
32,14144,8936,
72,14120,8944,
100,14176,8928,
52,14148,8864,
100,14168,8936,
100,14256,8996,
124,14240,8956,
132,14240,9008,
96,14128,8940,
28,14120,8940,
56,14120,8948,
104,14236,8924,
48,14196,8896,
20,14172,8884,
28,14264,8968,
36,14172,8908,
20,14176,8944,
100,14204,9024,
116,14264,9092,
44,14256,8988,
36,14244,9012,
36,14264,8996,
4,14224,8968,
12,14224,8936,
20,14356,9020,
28,14284,9020,
64,14240,9104,
48,14248,9008,
28,14180,8964,
40,14160,9060,
84,14200,8940,
88,14224,8984,
48,14256,9044,
100,14272,9092,
108,14220,9060,
132,14200,9132,
76,14248,9132,
76,14292,9008,
84,14248,9116,
204,14248,9152,
184,14256,9064,
84,14268,9024,
108,14168,9024,
124,14156,9076,
24,14224,8972,
64,14220,9076,
84,14068,8888,
148,14236,8888,
84,14352,8812,
84,14248,8876,
4,14148,8972,
52,14180,8892,
60,14132,8936,
128,14200,8936,
128,14208,8876,
64,14188,8940,
48,14188,8972,
116,14176,8808,
112,14196,8808,
92,14140,8984,
104,14088,8928,
136,14068,8992,
108,14100,8988,
212,14124,8836,
356,14148,8912,
276,14108,8916,
276,14144,8980,
