ax,ay,az,label
3200,13008,10352,
3180,13008,10320,
3188,13004,10288,
3164,12904,10324,
3232,12912,10324,
3168,12948,10448,
3180,13020,10452,
3164,12968,10384,
3200,12960,10412,
3244,12916,10344,
3236,12964,10296,
3244,13004,10360,
3292,12948,10300,
3372,12980,10332,
3328,13104,10340,
3328,13100,10176,
3352,13076,10228,
3320,13076,10280,
3256,13152,10480,
3308,13208,10480,
3268,13308,10268,
3264,13232,10200,
3272,13176,10276,
3176,13172,10300,
3356,13060,10328,
3376,13140,10196,
3436,13180,10316,
3288,13140,10252,
3312,13128,10332,
3232,13084,10264,
3232,13072,10020,
3296,13096,10076,
3308,13096,10244,
3300,13124,10092,
3328,13056,10020,
3384,13104,10020,
3504,13124,10116,
3476,13144,10212,
3468,13160,10092,
3464,13148,10180,
3464,13188,10260,
3516,13184,10224,
3576,13248,10284,
3548,13248,10508,
3468,13260,10384,
3464,13252,10520,
3464,13228,10740,
3540,13244,10624,
3472,13244,10472,
3484,13284,10476,
3468,13304,10476,
3476,13324,10444,
3588,13324,10356,
3472,13340,10408,
3508,13328,10392,
3548,13288,10404,
3544,13216,10416,
3444,13196,10468,
3520,13220,10344,
3588,13104,10336,
3440,13236,10356,
3440,13224,10372,
3456,13132,10380,
3492,13132,10488,
3456,13140,10428,
3484,13168,10320,
3440,13132,10320,
3308,13124,10436,
3396,13124,10596,
3372,13116,10448,
3260,13124,10512,
3312,13140,10492,
3388,13200,10432,
3300,13188,10608,
3304,13248,10648,
3244,13204,10500,
3280,13208,10420,
3280,13276,10400,
3376,13216,10404,
3208,13216,10328,
3220,13212,10476,
3284,13244,10476,
3328,13148,10508,
3236,13156,10476,
3204,13164,10536,
3240,13220,10488,
3240,13208,10348,
3164,13152,10448,
3220,13088,10568,
3200,13168,10560,
3132,13160,10604,
3088,13088,10520,
3088,13072,10508,
3120,13060,10488,
3104,13060,10472,
3080,13048,10524,
3096,13152,10600,
3128,13224,10600,
3076,13140,10588,
3152,13160,10556,
3176,13152,10504,
3228,13116,10616,
3236,13084,10572,
3212,13096,10512,
3208,13092,10508,
3328,13084,10452,
3260,13136,10448,
3300,13180,10476,
3300,13160,10460,
3360,13108,10340,
3388,13108,10536,
3332,13124,10548,
3356,13064,10548,
3304,13076,10532,
3380,13092,10580,
3420,13076,10560,
3344,13140,10536,
3392,13108,10440,
3360,13096,10496,
3356,13160,10552,
3304,13028,10544,
3452,13068,10432,
3356,12972,10464,
3356,13044,10416,
3360,13084,10492,
3380,13060,10428,
3324,13060,10480,
3348,13028,10296,
3320,13108,10296,
3204,13152,10236,
3176,13100,10208,
3216,13036,10372,
3284,13076,10228,
3316,13080,10364,
3300,13100,10412,
3252,13068,10312,
3284,13080,10300,
3304,13168,10364,
3284,13168,10236,
3284,13144,10244,
3208,13044,10408,
3316,13044,10584,
3192,13092,10528,
3240,13080,10528,
3288,13052,10244,
3260,13180,10316,
3312,13164,10368,
3236,13152,10296,
3172,13060,10336,
3356,13100,10340,
3356,13080,10400,
3260,13172,10396,
3336,13160,10356,
3280,13088,10484,
3280,13140,10460,
3216,13092,10420,
3192,13044,10452,
3340,13044,10376,
3268,13064,10420,
3248,13032,10420,
3248,13040,10388,
3220,13124,10116,
3236,13136,10184,
3180,13072,10272,
3188,13072,10260,
3236,13004,10228,
3280,13004,10300,
3228,13036,10396,
3220,12936,10300,
3148,12916,10296,
3148,13024,10448,
3228,13116,10352,
3312,13116,10268,
3212,12940,10144,
3192,12924,10144,
3164,13016,10152,
3136,12992,10260,
3100,13020,10276,
3100,12976,10356,
3256,12980,10228,
3292,12920,10184,
3256,12968,10172,
3120,13020,10192,
3224,12932,10112,
3284,12920,10144,
3284,13032,10196,
3232,13112,10288,
3164,13100,10116,
3144,13100,10216,
3212,12984,10332,
3168,12896,10332,
3260,12908,10156,
3236,12972,10064,
3232,13000,10184,
3264,13008,10152,
3260,13012,10224,
3268,13088,10296,
3288,13056,10240,
3328,13064,10212,
3268,13116,10200,
3240,13068,10200,
3240,13140,10272,
3268,13064,10092,
3316,13064,10052,
3300,13028,10108,
3312,13092,10108,
3188,13180,10184,
3272,13136,10128,
3312,13088,10176,
3248,13148,10372,
3284,13104,10220,
3316,13068,10228,
3256,13116,10212,
3184,13120,10236,
3192,13228,10296,
3256,13088,10244,
3284,13124,10096,
3284,13052,10036,
3312,13028,10072,
3384,13028,10064,
3364,13020,10104,
3272,13028,10104,
3284,12988,10200,
3372,13060,10268,
3328,13028,10288,
3384,13128,10268,
3344,13052,10092,
3260,13000,10108,
3252,12984,10028,
3344,13012,10016,
3244,12968,10172,
3264,13028,10088,
3264,12988,10096,
3280,13028,10132,
3284,13028,10096,
3356,13008,10080,
3224,13024,10080,
3248,12984,10140,
3244,12948,10028,
3220,12908,10048,
3140,12920,10284,
3224,13004,10192,
3288,13040,10088,
3352,13008,10056,
3268,12928,10152,
3336,12868,10028,
3260,12892,10064,
3236,12904,10024,
3236,12924,10132,
3264,12856,10088,
3228,12856,10096,
3252,12892,10176,
3248,12868,10176,
3276,12928,10152,
3228,12936,10292,
3256,12928,10304,
3312,12960,10152,
3256,12896,10060,
3308,12920,9964,
3212,12924,10000,
3212,12932,10176,
3240,12844,10344,
3264,12800,10200,
3264,12880,10296,
3260,12860,10196,
3232,12860,10212,
3212,12848,10244,
3236,12872,10244,
3192,12856,10212,
3284,12884,10200,
3340,12848,10092,
3260,12836,10084,
3228,12904,10064,
3296,12848,10096,
3356,12864,10156,
3328,12876,10120,
3276,12888,10148,
3292,12888,10224,
3228,12956,10260,
3228,12976,10336,
3280,12864,10252,
3220,12864,10168,
3300,12772,10200,
3280,12776,10200,
3280,12880,10136,
3328,12900,9972,
3304,12816,10080,
3292,12832,10092,
3300,12812,10136,
3336,12896,10048,
3292,12888,10028,
3284,12816,10028,
3280,12880,10080,
3316,12964,10152,
3316,12912,10160,
3296,12960,10184,
3216,12960,10292,
3248,12920,10320,
3232,12944,10228,
3364,12972,10228,
3260,12956,10112,
3340,12968,10180,
3356,12948,10260,
3332,12920,10236,
3276,12872,10096,
3272,12828,10148,
3328,12960,10240,
3300,12932,10316,
3256,12904,10188,
3232,12948,10096,
3232,12908,10208,
3316,12980,10120,
3312,12980,10080,
3380,12948,10120,
3344,12872,10120,
3324,12940,10164,
3276,12940,10128,
3244,12972,10112,
3276,12912,10136,
3304,12892,10080,
3368,12932,10072,
3328,12924,10188,
3316,12908,10196,
3280,12976,10212,
3364,12924,10176,
3364,12916,10212,
3388,12904,10332,
3364,12896,10276,
3324,12896,10144,
3328,12868,10348,
3340,12884,10348,
3404,12868,10288,
3424,12896,10208,
3452,12856,10264,
3396,12888,10204,
3400,12900,10172,
3352,12932,10328,
3444,12848,10256,
3476,12780,10196,
3476,12852,10140,
3352,12860,10192,
3352,12816,10216,
3376,12864,10216,
3384,12864,10312,
3472,12852,10352,
3440,12820,10352,
3512,12784,10204,
3456,12856,10204,
3484,12916,10168,
3408,12836,10192,
3444,12816,10184,
3396,12928,10192,
3432,12840,10232,
3424,12876,10088,
3464,12848,10168,
3512,12836,10228,
3468,12828,10160,
3468,12848,10172,
3532,12868,10276,
3564,12868,10284,
3456,12816,10220,
3452,12752,10220,
3428,12720,10268,
3520,12876,10244,
3504,12832,10264,
3492,12856,10216,
3544,12712,10236,
3460,12752,10316,
3472,12804,10292,
3540,12820,10216,
3348,12848,10280,
3536,12856,10368,
3536,12804,10436,
3448,12860,10276,
3568,12860,10252,
3548,12832,10328,
3504,12848,10352,
3448,12864,10352,
3620,12876,10220,
3644,12824,10308,
3512,12788,10276,
3504,12812,10288,
3648,12868,10200,
3600,12792,10304,
3440,12784,10188,
3544,12808,10264,
3516,12732,10288,
3604,12872,10096,
3604,12916,10380,
3644,12916,10364,
3592,12916,10252,
3524,12972,10332,
3552,12920,10332,
3512,12808,10412,
3600,12816,10288,
3640,12820,10336,
3564,12856,10376,
3612,12820,10392,
3568,12868,10420,
3584,12916,10480,
3608,12928,10452,
3540,12940,10572,
3472,12876,10388,
3604,12896,10500,
3604,12956,10532,
3704,12988,10396,
3680,12988,10532,
3632,13012,10556,
3680,12976,10556,
3640,13060,10620,
3568,13028,10472,
3644,12916,10416,
3592,12912,10416,
3724,12976,10388,
3712,13040,10560,
3700,13064,10552,
3652,13004,10696,
3596,13000,10516,
3624,12992,10448,
3624,12940,10512,
3720,12888,10528,
3684,12888,10508,
3720,12952,10640,
3764,13044,10640,
3716,13028,10744,
3672,12948,10620,
3596,12964,10600,
3672,12932,10608,
3688,12932,10680,
3696,12964,10708,
3712,13052,10520,
3692,12980,10416,
3624,12972,10344,
3724,12976,10420,
3772,12996,10444,
3772,12936,10588,
3664,12912,10516,
3664,12912,10476,
3696,12912,10512,
3632,12816,10512,
3536,12844,10428,
3612,12968,10452,
3700,12868,10420,
3696,12844,10520,
3624,12792,10468,
3600,12788,10364,
3528,12716,10276,
3532,12740,10316,
3532,12708,10300,
3516,12712,10316,
3516,12652,10336,
3576,12588,10400,
3576,12588,10312,
3584,12628,10428,
3496,12660,10444,
3488,12560,10444,
3568,12640,10404,
3544,12624,10332,
3444,12616,10336,
3472,12704,10472,
3436,12692,10492,
3492,12620,10400,
3560,12548,10444,
3584,12528,10396,
3472,12456,10244,
3476,12616,10256,
3476,12580,10448,
3580,12628,10420,
3568,12628,10384,
3576,12672,10356,
3416,12636,10356,
3312,12616,10480,
3492,12608,10444,
3448,12600,10372,
3536,12696,10436,
3524,12724,10536,
3532,12780,10448,
3564,12912,10396,
3512,12896,10348,A
3536,12912,10308,A
3388,12924,10260,A
3432,12968,10192,A
3432,12964,10100,A
3508,12992,10144,A
3380,12992,10116,A
3360,12920,10140,A
3344,12964,10140,A
3332,12868,10032,A
3336,13012,10072,A
