ax,ay,az,label
4964,14760,5984,
4936,14720,5876,
4936,14688,5924,
4988,14688,6008,
4972,14688,6064,
4956,14680,6148,
5012,14584,6008,
4956,14640,6008,
4972,14700,6120,
5000,14716,5984,
5000,14700,5900,
4996,14696,6052,
5076,14696,6096,
5016,14716,6024,
4956,14732,5940,
5008,14716,6132,
5040,14728,6044,
4940,14664,6092,
4940,14716,6040,
4996,14688,6048,
4940,14688,6024,
4884,14704,6076,
4944,14740,6076,
5000,14644,5972,
4884,14596,6028,
4920,14652,6016,
4892,14688,5996,
4992,14588,5952,
5020,14740,5960,
4996,14676,6040,
4984,14604,5968,
4880,14580,6020,
4904,14624,6076,
4904,14704,6180,
4852,14632,6000,
4860,14592,6060,
4924,14592,6088,
4976,14636,6156,
4936,14680,6156,
4804,14652,6088,
4768,14680,6020,
4932,14748,6072,
5032,14800,6204,
4900,14680,6040,
4912,14580,6032,
4908,14552,6080,
4800,14608,6056,
4924,14680,6000,
4960,14720,6072,
4960,14708,6104,
4956,14640,6028,
4912,14640,6032,
5016,14676,6036,
4916,14712,6036,
4948,14692,6040,
4904,14692,6044,
4948,14676,6036,
4864,14692,6112,
4848,14784,6064,
4952,14688,6104,
4928,14636,6140,
4992,14632,6000,
4956,14740,6076,
4920,14764,6124,
4916,14712,5884,
4916,14732,5928,
4832,14752,5968,
4872,14752,5932,
4832,14656,5924,
4820,14688,5924,
4880,14712,6004,
4880,14632,5884,
4904,14608,5960,
4844,14584,5912,
4872,14616,6020,
4872,14540,5952,
4880,14556,5896,
4936,14532,5904,
4900,14640,5876,
4952,14568,5936,
4952,14556,5920,
4892,14516,5908,
4792,14664,5984,
4904,14664,5888,
4956,14740,6040,
4904,14660,6040,
4988,14620,6008,
5064,14756,6148,
5040,14772,6172,
4948,14696,6228,
5000,14692,6260,
5016,14840,6192,
5028,14776,6196,
4984,14796,6212,
4992,14844,6252,
5052,14792,6220,
5052,14780,6112,
5116,14820,6120,
5120,14820,6116,
5104,14712,6124,
5084,14832,6124,
5048,14820,6060,
5096,14756,6112,
5136,14832,6152,
5060,14864,6304,
5088,14816,6180,
5048,14936,6120,
5136,14860,6120,
5020,14820,6076,
5056,14912,6120,
5060,14800,6104,
5068,14808,6196,
5068,14932,6116,
5020,14932,6148,
4876,14932,6140,
4952,14836,6072,
5016,14768,6072,
4972,14788,6060,
4900,14772,6040,
4964,14732,5892,
5004,14668,5900,
4944,14744,5932,
4884,14736,5848,
4916,14692,5936,
4904,14744,5864,
4884,14616,5772,
4904,14556,5884,
4904,14600,5888,
4912,14520,5796,
4808,14520,5864,
4780,14544,5956,
4760,14468,5904,
4764,14524,5904,
4736,14540,5876,
4788,14528,5868,
4868,14460,5884,
4792,14540,5940,
4708,14492,5848,
4732,14564,5936,
4788,14624,6000,
4888,14640,5780,
4908,14624,5760,
4808,14668,5900,
4808,14568,6020,
4808,14628,6204,
4908,14628,6080,
4956,14760,5884,
5048,14636,5884,
4964,14660,6056,
4948,14752,6012,
4900,14728,5892,
4972,14724,6064,
4928,14808,6260,
4880,14708,6176,
4928,14840,6088,
4912,14964,6060,
4888,14872,6028,
4856,14868,6028,
4960,14840,6244,
4960,14868,6164,
4968,14872,6096,
4980,14872,6152,
5140,14872,6112,
5112,14912,6112,
4972,14932,6236,
4968,14980,6052,
4980,14908,6040,
5072,14980,6060,
5064,14868,6324,
4900,14840,6324,
4936,14968,5980,
4920,14964,6016,
4960,14900,6116,
4912,14952,6108,
4912,14848,5940,
4892,14776,5724,
4908,14776,5944,
4920,14900,6000,
4888,14772,5828,
4892,14756,5828,
4920,14752,5968,
4964,14712,5844,
4868,14624,5800,
4908,14632,5904,
4952,14688,5828,
4840,14740,5936,
4880,14736,5880,
4900,14668,5764,
4924,14636,5868,
5004,14652,5856,
5004,14660,5892,
4980,14624,5900,
4900,14624,5800,
4924,14704,5836,
4968,14632,5836,
4904,14728,5944,
5032,14692,5944,
5124,14756,6024,
4992,14728,5888,
4968,14716,5852,
5036,14708,6020,
4968,14672,6032,
4956,14704,5992,
4912,14816,5832,
4832,14776,5816,
4972,14672,5872,
4972,14692,5992,
4988,14664,6084,
4956,14664,5888,
4932,14664,5840,
4932,14684,5840,
4932,14660,5756,
4908,14664,5760,
5016,14688,5808,
5032,14632,5792,
4988,14672,5812,
4956,14744,5932,
4868,14764,5944,
4816,14680,5880,
4880,14576,5828,
4880,14712,5692,
4880,14704,5964,
4808,14704,0,
4620,15064,5964,
4596,14976,5964,
4536,14932,5860,
4512,14972,6012,
4496,14988,5964,
4412,14884,6008,
4472,14964,6056,
4556,14848,5968,
4576,14824,5872,
4532,14880,5864,
4500,14884,5856,
4500,14812,5956,
4500,14808,5984,
4544,14904,5900,
4616,14904,5904,
4672,14964,6024,
4696,14972,6000,
4640,14932,6000,
4696,14904,5940,
4600,14980,5984,
4644,14884,6080,
4676,14992,6064,
4704,14988,6176,
4680,14844,6144,
4716,14900,6056,
4732,14924,6088,
4604,14932,6280,
4512,14940,6220,
4512,14936,6160,
4584,14980,6196,
4604,14980,6344,
4776,14924,6128,
4664,14884,6128,
4560,14848,6048,
4496,14772,6132,
4508,14860,6056,
4512,14812,6024,
4464,14820,5864,
4436,14788,5992,
4384,14724,6008,
4380,14768,5848,
4504,14808,5900,
4476,14844,5848,
4376,14780,5912,
4376,14744,5920,
4360,14868,5892,
4456,14868,5800,
