ax,ay,az,
2020,17884,10800,
3012,16400,6584,
3740,14332,7836,
3636,15132,11732,
2772,16148,12068,
2160,14392,8552,
1556,11076,5044,
1556,10156,5352,
1168,14048,9556,
1528,14048,10308,
2348,18076,6580,
3228,16096,8416,
3912,14252,8416,
3780,15260,11816,
2796,15968,11752,
2200,13996,7912,
1752,10956,4596,
1448,10480,5304,
1660,14580,9684,
2456,17896,9816,
3320,15784,6452,
4048,14196,8556,
3536,15448,11832,
3536,15944,11612,
2728,13968,8044,
2372,11096,4880,
1748,11096,5520,
1376,10612,9844,
1732,14644,9844,
2400,17668,9572,
3232,15708,6568,
3696,13960,8696,
3240,15140,11836,
2544,15940,11828,
2064,14172,8472,
1768,11388,5440,
1600,10720,5704,
1792,14480,9576,
2432,17888,9724,
3312,15988,6572,
3312,13928,8340,
3868,14840,11604,
3560,14840,12004,
2728,15748,8992,
2184,14492,8992,
1792,11884,5756,
1604,10752,5284,
1636,13720,8584,
2296,17612,9972,
3204,16436,6776,
3792,14128,7728,
3564,14412,10856,
2684,15592,12236,
2152,15112,10080,
1844,12656,6440,
1596,10948,5164,
1596,12836,7648,
1612,17100,10180,
2108,17100,6996,
2908,16844,7056,
3680,14428,7056,
3632,13968,10016,
2788,15204,12020,
2352,15404,10932,
2032,13568,7436,
1764,11400,5320,
1576,11916,6524,
2008,15880,9828,
2728,17356,8084,
3460,15132,6828,
3728,13704,9052,
3092,14668,11616,
3092,15592,11744,
2528,14572,8720,
2184,14572,6048,
1948,12280,5816,
1792,11580,5816,
1784,14332,8640,
2404,17400,9224,
3380,16032,6732,
3784,13872,7992,
3464,13988,10552,
2760,15404,11996,
2316,15464,10280,
2148,13564,7284,
1944,11864,5696,
1784,12724,7032,
2124,16404,9740,
2124,17032,7584,
2796,14828,7064,
3584,14828,9408,
3724,13652,11492,
2932,14720,11692,
2360,15748,11692,
2096,14792,8916,
1900,12808,6444,
1748,12076,6020,
1824,14336,8368,
2300,17168,9040,
3136,16028,7080,
3672,13956,8008,
3304,13908,10324,
2720,15184,11888,
2376,15564,10656,
2376,13992,7656,
1984,12112,5880,
1800,12336,6452,
1600,12336,9008,
1848,15652,8032,
2388,17132,8032,
3280,15196,7340,
3448,13572,8828,
2936,14336,10800,
2328,15584,11436,
2080,15388,9632,
1904,13616,6876,
1680,12260,5588,
1540,13152,6724,
1664,16500,9196,
2484,16712,7736,
3088,14552,7496,
3088,13416,9228,
3056,14448,10920,
2528,14448,11060,
2136,15564,8824,
1960,15040,8824,
1848,13036,6332,
1636,12052,5472,
1472,13612,7048,
1668,16776,9008,
2436,16412,7460,
3196,14140,7628,
3040,13440,9384,
2376,14648,10960,
2008,15588,10704,
1964,14760,8344,
1736,13072,6064,
1736,12408,5484,
1480,14072,7364,
1396,14072,9108,
1736,17084,7528,
2452,16208,7528,
3000,14052,7776,
2760,13376,9748,
2128,14492,11240,
1968,15276,10572,
1940,14612,8264,
1884,13028,6220,
1672,12436,5504,
1488,13992,7140,
1828,16812,9016,
2572,16168,7760,
3160,13804,8056,
3160,13108,9672,
2860,14216,10992,
2364,14216,10632,
2104,15036,8408,
1992,14464,8408,
1964,13172,6360,
1712,12616,5808,
1488,13828,6992,
1900,16444,8952,
2568,16176,7824,
3168,14000,8092,
3084,12988,9496,
2396,13872,10856,
2140,14660,10684,
2072,14292,8660,
2052,13384,6884,
2052,12940,6092,
1752,13740,6592,
1656,13740,8492,
1900,15992,7960,
