ax,ay,az,
0,0,9068,
1340,15088,9080,
1244,15056,9116,
1308,15032,9100,
1336,15032,9108,
1336,15020,8968,
1404,14912,8968,
1404,14904,9032,
1336,14864,9040,
1444,14832,9104,
1512,14828,9080,
1464,14868,9136,
1344,14772,9076,
1340,14776,9164,
1428,14808,9224,
1452,14860,9104,
1512,14872,9060,
1552,14732,9076,
1552,14620,9076,
1448,14644,9020,
1504,14644,9016,
1512,14720,9024,
1528,14720,9024,
1564,14708,9036,
1536,14836,9128,
1592,14808,9048,
1512,14804,9052,
1516,14756,8960,
1536,14708,9072,
1604,14688,9056,
1500,14628,9132,
1444,14728,8988,
1556,14720,8928,
1532,14792,9036,
1532,14748,9004,
1452,14744,9016,
1492,14780,9048,
1504,14780,9068,
1436,14832,9100,
1512,14800,9100,
1496,14872,9004,
1436,14868,9084,
1500,14844,8936,
1484,14820,8920,
1452,14792,8920,
1568,14724,9000,
1632,14720,8924,
1576,14684,8944,
1504,14688,8916,
1540,14644,8868,
1500,14608,8808,
1500,14464,8776,
1532,14628,8784,
1448,14628,8852,
1492,14524,9072,
1504,14472,9072,
1520,14488,8924,
1480,14444,8756,
1492,14424,8828,
1492,14288,8848,
1552,14268,8760,
1444,14276,8864,
1588,14240,8844,
1540,14160,8956,
1460,14184,8876,
1460,14208,8784,
1432,14176,8660,
1432,14100,8760,
1484,14104,8812,
1416,14104,8776,
1496,14008,8784,
1612,14064,8776,
1596,14060,8776,
1532,14092,8680,
1472,14096,8620,
1508,14104,8496,
1492,14116,8552,
1548,14056,8692,
1568,13972,8704,
1500,14008,8764,
1480,14080,8588,
1528,14112,8552,
1532,14088,8648,
1568,14032,8740,
1568,14032,8656,
1604,14104,8660,
1580,14104,8576,
1684,14072,8692,
1672,14068,8692,
1636,14048,8612,
1576,13888,8588,
1524,13944,8560,
1604,14064,8556,
1604,14016,8604,
1580,14012,8572,
1464,14008,8720,
1500,14020,8576,
1460,14092,8372,
1456,14016,8524,
1404,13996,8564,
1404,13992,8556,
1572,13992,8604,
1616,13992,8300,
1500,13976,8392,
1488,14076,8460,
1496,14044,8460,
1508,14064,8500,
1416,14088,8512,
1516,14148,8432,
1520,14220,8528,
1548,14324,8508,
1508,14156,8596,
1564,14360,8648,
1532,14452,8924,
1640,14544,9280,
1688,14236,8864,
1604,14172,7960,
1604,14188,7892,
1520,14456,8392,
1308,14456,8984,
1280,14728,9296,
1400,15076,9296,
1576,14840,9384,
1940,14480,8352,
2064,14328,8024,
1880,14376,8804,
1480,14248,9256,
1124,14200,8760,
1180,14456,8168,
1248,14756,8640,
1212,15072,9472,
1348,14944,9692,
1756,14552,8048,
1756,14376,7636,
1920,14428,8708,
1636,14428,9356,
1424,14308,9280,
1260,14348,8668,
1240,14496,8668,
1240,14768,8548,
1260,15060,9184,
1400,15056,9864,
1608,14532,8620,
1964,14340,7708,
1908,14492,8256,
1680,14512,9288,
1524,14556,9496,
1528,14756,8864,
1580,14976,8368,
1580,15060,8488,
1516,15216,8764,
1532,15164,9592,
1684,15164,8336,
1940,14620,7440,
2380,14408,7440,
2224,14468,8028,
1868,14600,9008,
1756,14736,9328,
1692,14896,8828,
1692,15016,8564,
1512,15056,8492,
1464,15068,8468,
1688,15160,9348,
1764,14840,9100,
2060,14456,7996,
2152,14452,7872,
2152,14648,8900,
2008,14756,9312,
1660,14756,9076,
1608,14868,8768,
1528,14984,8768,
1416,14972,8580,
1284,14772,8424,
1272,14716,8608,
1392,14736,9008,
1624,14532,9080,
1784,14152,8240,
1844,14088,7948,
1780,14208,8424,
1576,14348,8596,
1472,14420,8620,
1404,14468,8852,
1404,14380,8488,
1248,14236,8176,
1188,14040,8168,
1304,14040,8084,
1356,13884,8168,
1376,13584,8168,
1416,13640,8172,
1500,13692,8376,
1608,13736,8512,
1596,13852,8408,
1408,13844,8364,
1292,13996,8504,
1168,14136,8520,
1088,14152,8424,
1016,14216,8252,
1004,14188,8132,
1032,14072,7996,
1032,14068,7868,
932,14052,7952,
920,14052,8148,
992,14092,8376,
968,14164,8376,
1180,14232,8512,
1272,14304,8540,
1276,14356,8580,
1248,14504,8644,
1316,14484,8628,
1340,14496,8552,
1364,14460,8484,
1400,14508,8636,
1392,14556,8596,
1444,14616,8524,
1464,14652,8316,
1464,14664,8412,
1508,14756,8500,
1468,14808,8464,
1564,14808,8456,
1576,14860,8284,
1508,14940,8284,
1576,14872,8192,
1540,113420,9124,
2192,13488,9116,
2200,13468,9132,
2184,13468,9156,
2148,13512,9256,
2216,13572,9256,
2252,13452,9216,
2216,13484,9300,
2264,13496,9312,
2324,13484,9032,
2312,13448,9092,
2252,13396,9140,
2244,13400,9224,
2352,13436,9280,
2352,13424,9232,
2304,13476,9232,
2332,13496,9252,
2332,13444,9236,
2324,13468,9148,
2276,13468,8976,
2312,13472,8952,
2180,13508,8952,
2312,13468,8936,
2392,13488,8896,
2356,13512,9100,
2224,13444,9132,
2252,13464,9104,
2280,13416,9112,
2280,13504,9176,
2328,13508,9188,
2276,13420,9292,
2252,13476,9124,
2304,13368,9056,
2304,13420,9240,
2364,13500,9220,
2320,13500,9148,
2204,13464,9224,
2276,13368,9196,
2280,13424,9196,
2320,13464,9336,
2316,13476,9308,
2316,13524,9316,
2308,13516,9360,
2252,13540,9260,
2080,13460,9300,
2060,13388,9196,
2100,13464,9176,
2232,13508,9140,
2204,13552,9168,
2124,13508,9312,
2124,13432,9368,
2208,13416,9348,
2136,13416,9220,
2152,13520,9212,
2092,13592,9212,
2096,13544,9268,
2144,13472,9128,
2228,13464,9244,
2216,13564,9380,
2160,13572,9336,
2128,13652,9456,
2324,13612,9376,
2288,13620,9412,
2208,13588,9348,
2260,13648,9292,
2348,13640,9332,
2348,13672,9444,
2372,13708,9432,
2248,13708,9376,
2324,13764,9520,
2324,13828,9520,
2332,13692,9496,
2224,13628,9600,
2212,13684,9536,
2264,13728,9500,
2132,13652,9444,
2244,13680,9400,
2328,13732,9384,
2264,13672,9420,
2252,13664,9484,
2212,13720,9484,
2160,13652,9448,
2160,13628,9456,
2364,13772,9424,
2312,13756,9552,
2240,13756,9652,
2292,13680,9512,
2376,13736,9512,
2300,13796,9576,
2320,13772,9600,
2256,13836,9684,
2256,13824,9616,
2276,13816,9464,
2304,13740,9472,
2284,13780,9552,
2352,13804,9512,
2388,13828,9432,
2384,13828,9480,
2356,13828,9624,
2356,13796,9716,
2320,13828,9728,
2292,13828,9888,
2324,13796,9724,
2352,13800,9724,
2364,13668,9656,
2432,13764,9772,
2388,13776,9656,
2344,13828,9684,
2428,13756,9652,
2364,13740,9712,
2268,13764,9816,
2312,13736,9712,
2460,13724,9624,
2384,13836,9712,
2436,13864,9720,
2436,13860,9672,
2424,13732,9772,
2400,13732,9848,
2448,13736,9864,
2472,13788,9948,
2316,13816,9948,
2328,13808,9956,
2352,13788,9956,
2436,13748,10032,
2432,13760,9796,
2492,13748,9784,
2364,13708,9880,
2456,13672,9884,
2400,13756,10004,
2360,13680,9972,
2408,13700,9888,
2476,13716,9780,
2476,13764,9616,
2420,13736,9656,
2424,13736,9816,
2492,13656,9760,
2436,13660,9760,
2536,13560,9596,
2424,13644,9616,
2372,13716,9836,
2440,13636,9832,
2416,13712,9608,
2488,13788,9520,
2400,13776,9564,
2352,13836,9564,
2348,13768,9444,
2480,13884,9336,
2424,13860,9384,
2424,13932,9480,
2480,13948,9520,
2464,13948,9360,
2280,13968,9572,
2336,14032,9632,
2208,14004,9632,
2112,13928,9708,
2180,14100,9796,
2088,14292,9892,
2124,14256,9728,
2088,14204,9812,
1884,14136,9924,
1892,14264,9900,
1812,14320,9888,
1972,14276,9660,
2032,14236,9636,
2032,14248,9704,
1964,14196,9720,
1988,14212,9560,
2060,14212,9516,
1980,14116,9520,
2004,14084,9520,
